asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,119.0,35.0,29.94,29.77,41.06,37.43,4886.0,1310.0,290.0,,75.0,157,28157,,,,,,,,,33.19,,38.24,,1.60402229587,42.59,49.56,,1.0,1.0,39.0,39.0,42.0,42.0,42.0,42.0,28,12352.0,,3717.0,65.0,25.0,44.52,49.04,49.08,68.28,3190.0,1707.0,2000.0
,,,,,,,,56.0,14.0,33.21,39.86,38.36,40.29,2148.0,564.0,262.0,-9.65517241379,74.0,157,28157,,,,,,,,,41.96,26.4236215728,50.61,-9.92466802203,1.44482840801,48.5,56.92,13.8764968302,,,,,,,,,28,12708.0,0.0288212435233,4212.0,44.0,25.0,63.57,79.24,78.18,91.36,3440.0,2284.0,2001.0
,,,,,,,,53.0,10.0,100.94,40.8,49.11,42.2,2603.0,422.0,192.0,-26.7175572519,37.0,157,28157,,,,,,,,,73.15,74.3326978074,63.41,19.0282472817,1.71975393028,100.64,95.57,107.505154639,,,,,,,,,28,19322.0,0.520459553037,3536.0,58.0,22.0,85.57,79.14,189.71,125.18,11003.0,2754.0,2002.0
,,,,,,,,67.0,21.0,37.52,42.24,48.84,66.86,3272.0,1404.0,210.0,9.375,63.0,157,28157,,,,,,,,,59.46,-18.7149692413,74.57,-11.4360073331,1.5230827447,72.45,87.1,-28.0107313196,,,,,,,,,28,15214.0,-0.212607390539,5487.0,87.0,38.0,77.1,96.29,97.21,98.66,8457.0,3749.0,2003.0
1.0,1.0,48.0,48.0,100.0,100.0,100.0,100.0,78.0,14.0,34.05,36.5,51.51,49.43,4018.0,692.0,199.0,-5.2380952381,47.0,157,28157,,,,,,,,,49.0,-17.5916582577,58.32,26.137169899,1.92117346939,75.31,83.21,3.94755003451,1.0,,72.0,,25.0,,25.0,,28,14986.0,-0.0149861969239,3911.0,74.0,26.0,58.99,66.04,89.31,85.69,6609.0,2228.0,2004.0
,,,,,,,,87.0,18.0,89.95,57.5,73.21,76.06,6369.0,1369.0,182.0,-8.54271356784,45.0,157,28157,,,,,,,,,77.66,58.4897959184,76.67,-28.5766142061,1.37216713881,85.25,93.69,13.1987783827,,,,,,,,,28,15516.0,0.0353663419191,4216.0,64.0,24.0,71.14,91.21,98.17,103.04,6283.0,2473.0,2005.0
,,,,,,,,69.0,18.0,39.22,36.17,58.93,68.17,4066.0,1227.0,162.0,-10.989010989,50.0,157,28157,,,,,,,,,58.13,-25.1480813804,58.16,34.8664783605,1.85059349733,86.06,95.72,0.950146627566,,,,,,,,,28,13941.0,-0.10150812065,4786.0,56.0,26.0,69.96,70.96,105.41,112.88,5903.0,2935.0,2006.0
1.0,,32.0,,61.0,,61.0,,80.0,13.0,49.53,48.0,69.71,75.92,5577.0,987.0,191.0,17.9012345679,50.0,157,28157,,,,,,,,,62.82,8.0681231722,77.3,-1.79931735801,1.81729544731,91.33,115.18,6.12363467348,1.0,,180.0,,425.0,,425.0,,28,17444.0,0.251273222868,5759.0,77.0,32.0,81.94,95.22,110.48,141.09,8507.0,4515.0,2007.0
,,,,,,,,244.0,44.0,41.69,41.64,57.97,55.55,14144.0,2444.0,424.0,121.989528796,132.0,157,28157,,,,,,,,,64.76,3.08818847501,82.24,-0.66961186507,1.80512662137,93.52,107.64,2.39789773349,,,,,,,,,28,39652.0,1.27310249943,14208.0,132.0,68.0,96.52,88.35,148.58,127.41,19612.0,8664.0,2008.0
,,,,,,,,34.0,6.0,49.03,33.33,86.24,46.33,2932.0,278.0,88.0,-79.2452830189,28.0,157,28157,,,,,,,,,65.91,1.77578752316,65.54,8.04709587263,1.95038689122,102.84,82.54,9.96578272027,,,,,,,,,28,9050.0,-0.771764349844,2311.0,43.0,20.0,80.16,72.6,112.79,90.5,4850.0,1810.0,2009.0
1.0,,17.0,,27.0,,27.0,,59.0,9.0,42.8,44.22,44.44,56.89,2622.0,512.0,133.0,51.1363636364,37.0,157,28157,,,,,,,,,60.65,-7.98057957821,74.3,-28.7350474873,1.38994229184,67.44,87.14,-34.422403734,2.0,1.0,24.0,29.0,41.0,31.0,82.0,31.0,28,8970.0,-0.00883977900552,3224.0,67.0,26.0,79.01,85.31,88.36,94.5,5920.0,2457.0,2010.0
