asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
10.0,7.0,48.9,54.14,101.4,111.29,1014.0,779.0,712.0,231.0,34.26,39.07,54.0,60.03,38446.0,13868.0,3522.0,,1224.0,047,45047,29.0,10.0,31.17,29.6,39.86,50.0,1156.0,500.0,44.11,,51.46,,1.7898435728859667,63.16,74.28,,9.0,4.0,34.44,21.75,57.33,36.75,516.0,147.0,45,222452.0,,90921.0,1517.0,739.0,51.97,58.37,71.52,80.77,108494.0,59690.0,2000.0
25.0,15.0,102.52,88.13,160.44,143.4,4011.0,2151.0,543.0,192.0,40.95,46.35,61.5,65.87,33395.0,12647.0,3989.0,13.259511641113008,1748.0,047,45047,34.0,13.0,56.82,89.23,62.32,84.31,2119.0,1096.0,52.39,18.7712536839719,62.41,4.1512201867878185,1.8641439205955335,78.13,90.25,23.70170994300189,4.0,3.0,50.75,42.67,101.5,78.67,406.0,236.0,45,311666.0,0.4010483160412135,157763.0,1865.0,1201.0,60.6,67.08,89.31,96.28,166559.0,115629.0,2001.0
24.0,18.0,62.42,58.72,97.71,84.44,2345.0,1520.0,497.0,221.0,43.83,50.86,64.97,73.33,32289.0,16207.0,4257.0,6.718475808473312,2181.0,047,45047,38.0,16.0,41.0,48.63,57.74,66.69,2194.0,1067.0,58.45,11.567092956671132,68.22,-0.7656187506138279,1.8498716852010264,86.5,95.21,10.712914373480098,8.0,3.0,52.5,57.33,79.38,91.0,635.0,273.0,45,368248.0,0.18154691239981258,207644.0,2323.0,1610.0,66.7,72.57,94.61,99.13,219770.0,159597.0,2002.0
30.0,13.0,86.0,108.15,131.6,127.0,3948.0,1651.0,789.0,275.0,43.62,47.25,70.19,75.59,55380.0,20788.0,5113.0,20.108057317359652,2658.0,047,45047,34.0,19.0,49.09,64.53,76.24,93.79,2592.0,1782.0,60.92,4.225834046193322,69.13,6.682524983015736,1.9734898227183193,96.18,105.3,11.190751445086722,12.0,7.0,51.5,52.57,86.42,104.0,1037.0,728.0,45,491776.0,0.33544785036171265,279894.0,3315.0,2074.0,66.14,72.93,102.36,109.92,339321.0,227968.0,2003.0
17.0,9.0,98.82,78.33,118.29,122.0,2011.0,1098.0,762.0,257.0,45.69,49.14,70.07,71.19,53390.0,18297.0,3675.0,-28.124388812830038,1753.0,047,45047,1.0,,66.0,,96.0,,96.0,,60.08,-1.3788575180564755,66.13,-1.4588921294100499,1.9446987350199734,93.47,101.93,-2.817633603659808,15.0,4.0,39.2,45.25,91.27,69.5,1369.0,278.0,45,343504.0,-0.30150312337324314,178692.0,2335.0,1326.0,65.22,70.09,99.83,108.71,233093.0,144151.0,2004.0
27.0,17.0,61.44,59.88,116.44,115.65,3144.0,1966.0,801.0,278.0,47.17,49.05,74.63,74.12,59782.0,20605.0,3809.0,3.6462585034013673,1718.0,047,45047,10.0,5.0,58.6,84.8,85.7,92.2,857.0,461.0,58.83,-2.080559254327563,67.46,3.5451385465818497,2.013640999490056,94.77,99.27,1.3908205841446364,8.0,2.0,39.5,48.5,80.75,72.0,646.0,144.0,45,360994.0,0.050916437654292324,170554.0,2328.0,1315.0,64.38,71.81,99.54,104.09,231738.0,136884.0,2005.0
22.0,9.0,77.36,74.11,142.95,110.44,3145.0,994.0,834.0,303.0,47.36,48.09,77.23,74.38,64407.0,22537.0,3716.0,-2.441585718036232,1801.0,047,45047,4.0,4.0,67.75,67.75,66.5,66.5,266.0,266.0,62.84,6.816250212476627,70.05,-3.1806460036886475,1.9495942075111394,98.01,104.22,3.418803418803429,2.0,1.0,54.0,48.0,92.5,89.0,185.0,89.0,45,364212.0,0.008914275583527642,187708.0,2246.0,1366.0,69.01,74.78,104.22,110.55,234082.0,151016.0,2006.0
22.0,13.0,97.59,82.0,141.41,125.92,3111.0,1637.0,679.0,275.0,44.4,43.47,81.48,82.56,55326.0,22704.0,3295.0,-11.329386437029065,1724.0,047,45047,2.0,2.0,59.5,59.5,133.5,133.5,267.0,267.0,71.43,13.669637173774674,76.59,1.7345211712233244,1.9834103317933638,113.34,117.54,15.641261095806547,3.0,,28.67,,101.67,,305.0,,45,373465.0,0.02540553304119575,202632.0,2116.0,1321.0,80.17,82.39,122.82,124.98,259893.0,165097.0,2007.0
68.0,48.0,79.41,83.58,176.65,201.58,12012.0,9676.0,1196.0,380.0,49.76,54.56,74.79,78.39,89448.0,29788.0,8044.0,144.12746585735965,4392.0,047,45047,20.0,20.0,122.8,122.8,141.2,141.2,2824.0,2824.0,77.93,9.099818003639925,88.61,3.442084720328009,2.0516809957654303,127.91,137.72,12.85512616904887,20.0,8.0,42.0,51.0,127.0,171.0,2540.0,1368.0,45,1028900.0,1.7550105096863158,604856.0,5808.0,3704.0,84.04,92.04,135.63,142.77,787756.0,528816.0,2008.0
21.0,16.0,251.19,283.06,179.71,191.69,3774.0,3067.0,172.0,49.0,49.34,56.14,83.72,100.29,14399.0,4914.0,1921.0,-76.11884634510194,1042.0,047,45047,4.0,2.0,78.0,39.5,158.0,99.0,632.0,198.0,92.05,18.118824586167047,105.05,-4.246454011768441,1.9645573058120585,144.67,153.23,13.102963020874036,4.0,,91.25,,196.5,,786.0,,45,277910.0,-0.7298960054427057,159667.0,1402.0,931.0,95.82,105.05,149.78,156.24,209993.0,145456.0,2009.0
16.0,10.0,117.13,141.3,175.81,162.1,2813.0,1621.0,168.0,54.0,44.63,54.24,78.03,87.78,13109.0,4740.0,1572.0,-18.167621030713164,878.0,047,45047,1.0,1.0,64.0,64.0,100.0,100.0,100.0,100.0,86.37,-6.1705594785442575,90.82,3.408607912516204,2.0315213615838834,140.37,145.46,-2.9722817446602545,4.0,2.0,156.75,77.5,64.75,48.0,259.0,96.0,45,220659.0,-0.20600554136231153,127712.0,1188.0,755.0,91.58,92.58,147.17,149.07,174842.0,112545.0,2010.0
19.0,9.0,82.42,106.22,175.21,183.33,3329.0,1650.0,156.0,48.0,53.87,61.92,84.82,100.19,13232.0,4809.0,1364.0,-13.23155216284987,717.0,047,45047,1.0,,407.0,,417.0,,417.0,,92.01,6.530045154567565,107.33,-7.634420643248985,1.8764264753831106,138.12,146.88,-1.6029066039752071,1.0,1.0,51.0,51.0,42.0,42.0,42.0,42.0,45,188399.0,-0.1461984328760667,105316.0,1005.0,622.0,99.21,111.54,146.33,150.94,147066.0,93882.0,2011.0
14.0,9.0,77.86,92.0,119.21,114.11,1669.0,1027.0,168.0,61.0,52.49,62.21,86.2,104.89,14482.0,6398.0,1583.0,16.05571847507332,933.0,047,45047,3.0,2.0,56.67,79.0,139.0,186.0,417.0,372.0,87.87,-4.499510922725792,95.89,7.107164175179004,2.0097871856151133,141.28,150.66,2.287865624094998,5.0,3.0,68.4,76.67,100.2,76.67,501.0,230.0,45,223650.0,0.18710821182702664,140570.0,1223.0,810.0,93.67,98.8,150.69,155.72,184299.0,126134.0,2012.0
19.0,14.0,107.21,125.71,134.16,142.79,2549.0,1999.0,183.0,68.0,58.43,54.37,88.3,95.6,16159.0,6501.0,1536.0,-2.969046114971574,896.0,047,45047,3.0,,65.67,,39.33,,118.0,,89.81,2.2078069875953066,92.77,-7.831892779055538,1.8523828081505398,133.09,138.68,-5.796998867497171,6.0,5.0,70.17,74.0,80.17,68.8,481.0,344.0,45,204430.0,-0.08593784931813098,124258.0,1171.0,764.0,92.44,96.17,141.82,144.28,166069.0,110229.0,2013.0
12.0,4.0,69.33,112.0,138.08,158.0,1657.0,632.0,133.0,34.0,60.96,71.21,91.13,106.18,12120.0,3610.0,972.0,-36.71875,516.0,047,45047,2.0,2.0,111.5,111.5,150.0,150.0,300.0,300.0,79.28,-11.724752254760052,88.87,9.04321836645523,2.0198978304742687,128.11,140.36,-3.741828837628669,4.0,2.0,69.5,106.5,153.0,251.5,612.0,503.0,45,124526.0,-0.3908623978868072,72428.0,738.0,439.0,82.42,89.91,131.8,139.39,97265.0,61192.0,2014.0
