year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,27,077,49.65,53.58,189,9383,27077,1.15831466965,,,,,
2001,27,077,64.97,58.85,205,13319,27077,1.37999150382,30.8559919436,9.8357596118,8.46560846561,0.419482041991,19.1378767772
2002,27,077,74.9,58.89,318,23819,27077,1.5898284938,15.2839772203,0.0679694137638,55.1219512195,0.788347473534,15.2056726
2003,27,077,81.69,63.73,350,28592,27077,1.602267378,9.06542056075,8.21871285447,10.0628930818,0.200386246274,0.782404155381
2004,27,077,86.49,61.64,258,22315,27077,1.75393413368,5.87587219978,-3.27946022282,-26.2857142857,-0.219536933408,9.46575819747
2005,27,077,91.76,61.63,245,22482,27077,1.86110660393,6.09318996416,-0.0162232316677,-5.03875968992,0.00748375532153,6.1104045009
2006,27,077,94.41,72.3,208,19637,27077,1.63226141079,2.88796861378,17.3129969171,-15.1020408163,-0.126545680989,-12.2961894099
2007,27,077,104.81,75.92,186,19495,27077,1.72566517387,11.0157822265,5.00691562932,-10.5769230769,-0.00723124713551,5.72235320038
2008,27,077,108.47,66.8,348,37748,27077,2.02975299401,3.49203320294,-12.0126448894,87.0967741935,0.936291356758,17.6214844426
2009,27,077,115.21,83.11,73,8410,27077,1.73279388762,6.21369964045,24.4161676647,-79.0229885057,-0.77720673943,-14.6303075926
2010,27,077,126.67,88.88,66,8360,27077,1.7814750225,9.94705320719,6.94260618457,-9.58904109589,-0.00594530321046,2.80940135069
2011,27,077,119.85,92.83,60,7191,27077,1.61383712162,-5.38406884029,4.44419441944,-9.09090909091,-0.139832535885,-9.41006181757
2012,27,077,2.79,86.14,92,257,27077,0.0404864174599,-97.6720901126,-7.20672196488,53.3333333333,-0.964260881658,-97.4912946965
2013,27,077,115.79,98.95,87,10074,27077,1.46273370389,4050.17921147,14.8711400046,-5.4347826087,38.1984435798,3512.89982088
2014,27,077,125.32,96.87,60,7519,27077,1.6171157221,8.23041713447,-2.10207175341,-31.0344827586,-0.253623188406,10.5543488743
