year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,48,481,51.64,48.24,944,48746,48481,1.33810116086,,,,,
2001,48,481,59.53,54.49,911,54228,48481,1.3656175445,15.2788536019,12.956053068,-3.49576271186,0.11246050958,2.05637544052
2002,48,481,70.99,75.49,972,69004,48481,1.17548681945,19.250797917,38.5391815012,6.69593852909,0.272479162057,-13.9226920321
2003,48,481,75.67,67.2,1423,107674,48481,1.40755208333,6.59247781378,-10.9815869652,46.3991769547,0.560402295519,19.742055806
2004,48,481,79.09,67.1,1452,114841,48481,1.47336065574,4.51962468614,-0.14880952381,2.03794799719,0.0665620298308,4.67539163798
2005,48,481,79.03,68.27,1374,108589,48481,1.44701186466,-0.0758629409533,1.7436661699,-5.37190082645,-0.0544404872824,-1.78834632105
2006,48,481,79.86,68.67,1324,105739,48481,1.45369156837,1.05023408832,0.585908891167,-3.63901018923,-0.0262457523322,0.461620521475
2007,48,481,92.01,70.42,1143,105173,48481,1.63323629651,15.2141247183,2.54841997961,-13.670694864,-0.0053528026556,12.3509506447
2008,48,481,110.58,87.28,2684,296784,48481,1.58369615032,20.182588849,23.9420619142,134.820647419,1.82186492731,-3.03325038097
2009,48,481,118.63,89.69,593,70346,48481,1.65333370498,7.27979743172,2.76122823098,-77.9061102832,-0.762972397434,4.39715375004
2010,48,481,130.57,92.56,619,80821,48481,1.76331568712,10.0649076962,3.19991080388,4.3844856661,0.148906831945,6.65213452109
2011,48,481,126.47,97.16,616,77905,48481,1.62708419103,-3.14007811902,4.96974935177,-0.48465266559,-0.0360797317529,-7.72587104463
2012,48,481,2.9,93.88,681,1972,48481,0.0386131231359,-97.7069660789,-3.37587484562,10.5519480519,-0.974687118927,-97.6268515576
2013,48,481,122.95,99.9,739,90862,48481,1.53841341341,4139.65517241,6.41244141457,8.51688693098,45.0760649087,3884.17244831
2014,48,481,126.82,97.99,536,67974,48481,1.61776711909,3.14762098414,-1.91191191191,-27.4695534506,-0.251898483414,5.15815222283
