asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,9.0,3.0,40.78,43.33,45.33,55.0,408.0,165.0,542.0,,185.0,273,48273,220.0,64.0,47.7,47.67,47.82,44.52,10520.0,2849.0,52.38,,60.23,,1.15979381443,48.6,50.11,,4.0,2.0,49.5,46.5,36.0,28.5,144.0,57.0,48,26342.0,,9271.0,127.0,72.0,70.35,78.22,54.5,57.86,6922.0,4166.0,2000.0
2.0,,20.5,,42.5,,85.0,,5.0,3.0,48.4,65.0,40.6,32.67,203.0,98.0,683.0,26.0147601476,263.0,273,48273,192.0,79.0,66.34,67.73,57.11,64.43,10966.0,5090.0,56.44,7.75105001909,63.43,0.635876840696,1.1671686747,52.7,58.72,8.43621399177,,,,,,,,,48,35993.0,0.3663730924,15444.0,142.0,85.0,66.92,72.87,66.9,68.89,9500.0,5856.0,2001.0
3.0,3.0,48.0,48.0,59.0,59.0,177.0,177.0,11.0,4.0,44.27,38.0,48.82,46.0,537.0,184.0,708.0,3.66032210835,295.0,273,48273,226.0,98.0,56.91,60.02,58.22,56.5,13157.0,5537.0,63.46,12.4379872431,66.89,-5.23977511869,1.10601166089,56.15,59.49,6.54648956357,1.0,1.0,133.0,133.0,187.0,187.0,187.0,187.0,48,39757.0,0.104575889756,17549.0,174.0,99.0,89.67,85.91,67.13,68.36,11680.0,6768.0,2002.0
2.0,,36.5,,71.0,,142.0,,10.0,,79.4,,75.7,,757.0,,1043.0,47.3163841808,378.0,273,48273,416.0,163.0,61.29,67.9,55.42,56.99,23055.0,9290.0,65.58,3.34068704696,75.47,8.15879241249,1.19624885636,62.76,65.34,11.7720391808,5.0,1.0,73.8,91.0,92.0,90.0,460.0,90.0,48,65457.0,0.646427044294,24700.0,321.0,152.0,76.92,87.17,76.38,75.39,24517.0,11460.0,2003.0
1.0,,69.0,,50.0,,50.0,,16.0,7.0,58.63,65.86,71.19,71.29,1139.0,499.0,1085.0,4.02684563758,358.0,273,48273,4.0,3.0,86.0,103.0,56.5,65.33,226.0,196.0,65.39,-0.289722476365,77.58,4.94074821552,1.25535250038,65.67,67.85,4.63671128107,15.0,6.0,52.73,65.0,47.87,39.33,718.0,236.0,48,71255.0,0.0885772339093,24292.0,770.0,265.0,68.55,80.97,65.84,68.42,50694.0,18132.0,2004.0
8.0,5.0,53.63,52.0,71.75,64.8,574.0,324.0,18.0,7.0,55.61,61.14,95.44,100.71,1718.0,705.0,1115.0,2.76497695853,387.0,273,48273,4.0,3.0,36.5,36.67,120.75,71.0,483.0,213.0,64.61,-1.19284294235,68.8,8.35817401746,1.3602770469,70.31,72.55,7.06563118623,21.0,10.0,48.43,52.8,50.9,41.1,1069.0,411.0,48,78400.0,0.100273665006,28077.0,867.0,318.0,64.43,70.34,69.45,71.71,60209.0,22803.0,2005.0
7.0,4.0,89.43,90.5,65.43,64.5,458.0,258.0,16.0,5.0,47.56,36.6,49.44,52.6,791.0,263.0,1047.0,-6.09865470852,364.0,273,48273,4.0,1.0,119.5,287.0,102.0,122.0,408.0,122.0,68.81,6.50054171181,73.83,-5.890090289,1.28015550065,70.47,73.83,0.227563646707,18.0,4.0,59.72,88.0,63.11,103.0,1136.0,412.0,48,73781.0,-0.0589158163265,26873.0,807.0,305.0,68.97,74.41,71.03,74.5,57322.0,22723.0,2006.0
9.0,5.0,80.89,75.6,106.33,99.2,957.0,496.0,15.0,4.0,68.0,63.75,85.73,74.75,1286.0,299.0,897.0,-14.3266475645,346.0,273,48273,10.0,7.0,45.8,43.0,80.3,57.29,803.0,401.0,75.16,9.22830983869,81.71,4.69879195515,1.34030734433,80.59,83.58,14.3607208741,7.0,2.0,65.86,84.5,53.29,28.0,373.0,56.0,48,72289.0,-0.0202220083761,28919.0,722.0,296.0,77.47,83.99,79.83,84.88,57634.0,25123.0,2007.0
36.0,12.0,66.89,78.33,80.44,105.33,2896.0,1264.0,4.0,4.0,65.0,65.0,86.0,86.0,344.0,344.0,2400.0,167.558528428,840.0,273,48273,,,,,,,,,74.72,-0.585417775412,85.39,4.89500214292,1.40591541756,84.04,92.64,4.28092815486,28.0,8.0,59.29,84.5,70.29,86.0,1968.0,688.0,48,201688.0,1.79002337838,77816.0,2060.0,744.0,74.24,85.62,83.38,90.63,171768.0,67428.0,2008.0
4.0,3.0,96.25,89.67,80.0,82.33,320.0,247.0,7.0,1.0,80.57,294.0,51.14,80.0,358.0,80.0,421.0,-82.4583333333,149.0,273,48273,2.0,2.0,59.0,59.0,84.5,84.5,169.0,169.0,74.42,-0.401498929336,85.28,-0.994688929306,1.39193093255,82.87,89.31,-1.39219419324,7.0,2.0,68.71,145.0,48.0,59.0,336.0,118.0,48,34889.0,-0.827014993455,13307.0,337.0,128.0,72.35,81.3,86.05,88.91,28999.0,11380.0,2009.0
