year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,31,101,60.12,52.13,223,13407,31101,1.44158833685,,,,,
2001,31,101,69.77,56.97,446,31118,31101,1.53084956995,16.0512308716,9.28448110493,100.0,1.32102632953,6.19186704118
2002,31,101,72.71,62.61,479,34830,31101,1.45164510462,4.21384549233,9.89994734071,7.39910313901,0.119287871971,-5.17388951129
2003,31,101,83.89,66.07,655,54948,31101,1.5871424247,15.3761518361,5.52627375819,36.7432150313,0.577605512489,9.33405276912
2004,31,101,82.88,59.75,520,43097,31101,1.73389121339,-1.20395756348,-9.56561222945,-20.6106870229,-0.215676639732,9.24610081642
2005,31,101,78.8,62.95,465,36640,31101,1.56473391581,-4.92277992278,5.35564853556,-10.5769230769,-0.149824813792,-9.75593487508
2006,31,101,75.41,67.96,430,32425,31101,1.38702913479,-4.30203045685,7.95869737887,-7.52688172043,-0.115038209607,-11.3568690003
2007,31,101,83.45,68.01,376,31376,31101,1.53378179679,10.6617159528,0.0735726898176,-12.5581395349,-0.0323515805705,10.5803590083
2008,31,101,75.1,77.65,960,72092,31101,1.20895041854,-10.0059916117,14.1743861197,155.319148936,1.29767975523,-21.1784609081
2009,31,101,92.19,81.49,237,21850,31101,1.41413056817,22.7563249001,4.94526722473,-75.3125,-0.696915052988,16.9717588477
2010,31,101,95.46,94.86,236,22529,31101,1.25790638836,3.54702245363,16.4069210946,-0.42194092827,0.0310755148741,-11.0473660157
2011,31,101,99.53,103.07,248,24684,31101,1.20706801203,4.26356589147,8.65485979338,5.08474576271,0.0956544897687,-4.04150712656
2012,31,101,2.97,91.13,239,709,31101,0.0407385054318,-97.0159750829,-11.5843601436,-3.62903225806,-0.971276940528,-96.6250033117
2013,31,101,101.68,91.49,247,25114,31101,1.38922286589,3323.56902357,0.395040052672,3.34728033473,34.4217207334,3310.09777154
2014,31,101,90.65,80.01,228,20668,31101,1.41622922135,-10.8477576711,-12.5478194338,-7.69230769231,-0.177032730748,1.94399013459
