year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,20,109,45.53,40.33,72,3278,20109,1.41117034466,,,,,
2001,20,109,54.43,50.09,77,4191,20109,1.35830505091,19.5475510652,24.2003471361,6.94444444444,0.278523489933,-3.74620214692
2002,20,109,65.87,55.29,76,5006,20109,1.48919334419,21.0178210546,10.3813136355,-1.2987012987,0.194464328323,9.63614860957
2003,20,109,71.34,56.1,108,7705,20109,1.58957219251,8.30423561561,1.46500271297,42.1052631579,0.53915301638,6.74048462009
2004,20,109,69.54,65.15,81,5633,20109,1.33422870299,-2.52312867956,16.1319073084,-25.0,-0.268916288125,-16.0636610733
2005,20,109,66.58,48.31,112,7457,20109,1.72272821362,-4.25654299684,-25.8480429777,38.2716049383,0.323806142375,29.1179098273
2006,20,109,66.0,56.09,76,5016,20109,1.47085041897,-0.871132472214,16.1043262265,-32.1428571429,-0.327343435698,-14.6208666381
2007,20,109,68.43,54.36,42,2874,20109,1.57353752759,3.68181818182,-3.08432875735,-44.7368421053,-0.427033492823,6.98147869423
2008,20,109,80.65,69.62,136,10968,20109,1.44803935651,17.8576647669,28.0721118469,223.80952381,2.81628392484,-7.97554356895
2009,20,109,65.35,56.53,17,1111,20109,1.44502918804,-18.9708617483,-18.8020683712,-87.5,-0.898705324581,-0.207878912371
2010,20,109,72.33,72.86,21,1519,20109,1.24090721932,10.6809487376,28.8873164691,23.5294117647,0.367236723672,-14.1258024686
2011,20,109,76.33,58.1,21,1603,20109,1.64221170396,5.53020876538,-20.2580290969,0.0,0.0552995391705,32.339604314
2012,20,109,2.81,111.71,21,59,20109,0.0314430221108,-96.3186165335,92.2719449225,0.0,-0.963194011229,-98.0853246853
2013,20,109,72.87,98.19,31,2259,20109,0.927665750076,2493.23843416,-12.1027660908,47.619047619,37.2881355932,2850.3072154
2014,20,109,102.21,78.93,14,1431,20109,1.61868110984,40.2634829148,-19.6150320807,-54.8387096774,-0.366533864542,74.4896919727
