year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,50,025,105.16,106.28,1310,137757,50025,1.23682724878,,,,,
2001,50,025,116.65,112.86,1959,228527,50025,1.2919767854,10.9262076835,6.1911930749,49.5419847328,0.658913884594,4.4589522648
2002,50,025,121.28,123.88,2712,328905,50025,1.22376493381,3.96913844835,9.76430976431,38.4379785605,0.439239127105,-5.27964994123
2003,50,025,127.55,120.43,3899,497313,50025,1.3239018517,5.16985488127,-2.7849531805,43.7684365782,0.512026268983,8.18269220868
2004,50,025,150.2,138.58,2558,384222,50025,1.35481310434,17.7577420619,15.0709955991,-34.3934342139,-0.227404069469,2.33485983922
2005,50,025,165.75,131.36,2939,487125,50025,1.57724954324,10.3528628495,-5.20998701111,14.8944487881,0.267821728063,16.4182379239
2006,50,025,176.67,149.16,2679,473287,50025,1.48054102977,6.58823529412,13.5505481121,-8.84654644437,-0.0284074929433,-6.13146561923
2007,50,025,181.06,135.69,2231,403953,50025,1.66795637114,2.48485877625,-9.03057119871,-16.7226577081,-0.146494621657,12.6585712659
2008,50,025,193.51,154.07,5732,1109180,50025,1.56998442267,6.8761736441,13.545581841,156.925145675,1.74581448832,-5.87377165076
2009,50,025,181.84,158.7,2183,396967,50025,1.4322621298,-6.03069608806,3.00512753943,-61.9155617585,-0.642107683153,-8.77220760105
2010,50,025,189.98,153.3,1842,349938,50025,1.54908675799,4.47646282446,-3.40264650284,-15.6207054512,-0.118470804878,8.15665133883
2011,50,025,181.73,174.45,1710,310766,50025,1.30216394382,-4.34256237499,13.7964774951,-7.1661237785,-0.111939829341,-15.9398957414
2012,50,025,2.9,168.95,1767,5122,50025,0.0214560520864,-98.4042260496,-3.15276583548,3.33333333333,-0.983518145486,-98.3522772084
2013,50,025,183.55,169.58,1596,292939,50025,1.35297499705,6229.31034483,0.372891387985,-9.67741935484,56.1923076923,6205.79657247
2014,50,025,180.38,182.25,950,171357,50025,1.23717421125,-1.72704985018,7.47139992924,-40.4761904762,-0.415042039469,-8.55897456018
