year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,17,153,40.62,36.92,144,5849,17153,1.3752708559,,,,,
2001,17,153,38.61,35.02,179,6911,17153,1.37814106225,-4.94830132939,-5.14626218852,24.3055555556,0.18156949906,0.20870116844
2002,17,153,46.71,38.9,129,6026,17153,1.50096401028,20.979020979,11.0793832096,-27.9329608939,-0.128056721169,8.91221888651
2003,17,153,61.45,46.66,136,8357,17153,1.64621731676,31.5564119032,19.9485861183,5.42635658915,0.386823763691,9.67733439854
2004,17,153,60.61,47.24,160,9698,17153,1.60377857748,-1.36696501221,1.24303471925,17.6470588235,0.160464281441,-2.57795485753
2005,17,153,59.02,45.48,190,11213,17153,1.6221416007,-2.62332948358,-3.72565622354,18.75,0.156217776861,1.14498494273
2006,17,153,74.05,56.42,129,9553,17153,1.64059730592,25.4659437479,24.0545294635,-32.1052631579,-0.148042450727,1.13773700201
2007,17,153,69.63,53.42,114,7938,17153,1.62930550356,-5.96893990547,-5.31726338178,-11.6279069767,-0.169056840783,-0.68827385748
2008,17,153,83.21,56.26,356,29624,17153,1.84878243868,19.5030877495,5.31636091352,212.280701754,2.73192239859,13.4705820757
2009,17,153,75.38,54.07,56,4221,17153,1.74264841872,-9.4099266915,-3.89264130821,-84.2696629213,-0.857514177694,-5.74075227786
2010,17,153,78.25,63.72,60,4695,17153,1.53503609542,3.80737596179,17.8472350657,7.14285714286,0.112295664534,-11.9136092553
2011,17,153,78.38,66.36,53,4154,17153,1.47641651597,0.166134185304,4.14312617702,-11.6666666667,-0.115228966986,-3.81877531212
2012,17,153,2.92,59.8,49,143,17153,0.0610367892977,-96.2745598367,-9.88547317661,-7.54716981132,-0.965575349061,-95.8658827887
2013,17,153,74.8,49.65,51,3815,17153,1.88318227593,2461.64383562,-16.9732441472,4.08163265306,25.6783216783,2985.32329043
2014,17,153,65.64,49.66,64,4201,17153,1.65223519936,-12.2459893048,0.0201409869083,25.4901960784,0.101179554391,-12.2636602695
