year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,51,083,58.25,38.18,1371,79862,51083,1.90708486118,,,,,
2001,51,083,66.07,44.59,1705,112647,51083,1.85215294909,13.4248927039,16.7888947093,24.3617797228,0.410520648118,-2.88041257157
2002,51,083,74.11,47.45,1638,121398,51083,1.95231822972,12.1689117603,6.4139941691,-3.92961876833,0.0776851580601,5.40804584594
2003,51,083,81.45,54.12,2044,166491,51083,1.88123614191,9.90419646471,14.0569020021,24.7863247863,0.371447635052,-3.64090683203
2004,51,083,77.19,48.21,2123,163879,51083,2.00140012446,-5.23020257827,-10.9201773836,3.86497064579,-0.0156885357166,6.38750127492
2005,51,083,81.51,50.17,2109,171914,51083,2.03084512657,5.59657986786,4.0655465671,-0.65944418276,0.0490300770691,1.47122016005
2006,51,083,86.58,51.69,1991,172372,51083,2.09373186303,6.22009569378,3.02969902332,-5.59506875296,0.00266412275905,3.09657962772
2007,51,083,89.73,54.29,1715,153887,51083,2.06598821146,3.63825363825,5.02998645773,-13.8623807132,-0.107238994732,-1.32508140429
2008,51,083,100.76,66.19,3956,398612,51083,1.90285541623,12.2924328541,21.9193221588,130.670553936,1.59029027793,-7.8961145241
2009,51,083,114.53,68.26,674,77192,51083,2.09731174919,13.6661373561,3.12736062849,-82.9625884732,-0.806348027656,10.2191859303
2010,51,083,111.39,65.15,513,57144,51083,2.13718342287,-2.74163974504,-4.55610899502,-23.8872403561,-0.25971603275,1.90108474295
2011,51,083,107.33,68.22,608,65256,51083,1.96661536206,-3.64485142293,4.71220260936,18.5185185185,0.141957160857,-7.98097435069
2012,51,083,2.97,65.46,572,1701,51083,0.0567140238313,-97.2328333178,-4.04573438874,-5.92105263158,-0.973933431409,-97.1161608454
2013,51,083,107.28,62.85,684,73381,51083,2.13365155131,3512.12121212,-3.98716773602,19.5804195804,42.1399176955,3662.12338179
2014,51,083,111.11,66.91,368,40889,51083,2.07573606337,3.57009694258,6.45982498011,-46.1988304094,-0.442784917077,-2.71438360722
