asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
25.0,15.0,89.2,85.73,103.8,109.87,2595.0,1648.0,21.0,7.0,58.71,67.14,83.81,100.71,1760.0,705.0,5013.0,,1592.0,479,48479,3749.0,1263.0,50.79,66.06,61.64,75.48,231085.0,95329.0,51.65,,67.97,,1.50556631171,62.21,77.9,,20.0,9.0,45.2,28.22,60.7,33.33,1214.0,300.0,48,311862.0,,124014.0,324.0,125.0,69.85,92.72,85.04,109.0,27553.0,13625.0,2000.0
28.0,21.0,143.75,155.33,146.39,163.81,4099.0,3440.0,21.0,8.0,85.52,77.25,102.19,74.88,2146.0,599.0,5328.0,6.28366247756,2027.0,479,48479,3647.0,1573.0,58.93,71.01,77.54,87.01,282788.0,136867.0,59.53,15.2565343659,72.84,5.34010008691,1.58596505963,75.53,88.48,21.4113486578,4.0,,86.0,,176.5,,706.0,,48,402429.0,0.290407295535,179348.0,326.0,169.0,90.8,98.75,114.09,116.22,37194.0,19642.0,2001.0
52.0,32.0,83.29,79.81,129.85,134.66,6752.0,4309.0,20.0,10.0,91.3,121.2,120.45,150.2,2409.0,1502.0,4963.0,-6.8506006006,2141.0,479,48479,3320.0,1656.0,68.23,75.06,93.64,99.66,310878.0,165035.0,70.33,18.1421132202,80.5,2.7537672122,1.62963884544,91.69,102.94,21.3954719979,9.0,4.0,79.22,77.75,89.67,98.75,807.0,395.0,48,455067.0,0.130800712672,220399.0,414.0,242.0,104.81,114.8,119.17,130.04,49336.0,31470.0,2002.0
66.0,37.0,98.11,83.76,156.23,117.76,10311.0,4357.0,46.0,16.0,80.39,96.81,111.2,133.5,5115.0,2136.0,7844.0,58.0495667943,2925.0,479,48479,5536.0,2261.0,71.88,84.59,92.75,103.76,513470.0,234595.0,72.93,3.69685767098,84.65,-1.46156282241,1.60582064994,93.69,106.07,2.18126295125,11.0,4.0,62.82,55.75,113.36,102.25,1247.0,409.0,48,734903.0,0.614933625158,310267.0,645.0,309.0,88.7,91.17,119.22,122.91,76894.0,37979.0,2003.0
71.0,39.0,118.66,125.85,164.37,162.59,11670.0,6341.0,55.0,22.0,63.58,70.09,114.22,110.59,6282.0,2433.0,9451.0,20.4869964304,3322.0,479,48479,62.0,19.0,61.76,70.58,99.29,126.95,6156.0,2412.0,68.02,-6.73248320307,71.18,7.77921921779,1.73074095854,94.18,99.14,0.523001387555,137.0,37.0,95.1,72.95,102.55,99.24,14050.0,3672.0,48,890060.0,0.211125822047,329346.0,6136.0,2428.0,68.88,71.91,94.67,99.36,580869.0,241253.0,2004.0
46.0,15.0,124.74,91.33,173.43,100.0,7978.0,1500.0,30.0,10.0,74.3,72.3,99.73,67.2,2992.0,672.0,11148.0,17.955771876,4218.0,479,48479,45.0,12.0,85.44,132.83,103.67,141.0,4665.0,1692.0,67.46,-0.82328726845,73.06,4.68432029627,1.81181440854,97.78,98.92,3.8224676152,111.0,21.0,67.56,83.19,103.22,82.67,11457.0,1736.0,48,1090090.0,0.224737658135,417226.0,9133.0,3768.0,67.43,73.58,97.84,99.54,893549.0,375074.0,2005.0
57.0,30.0,102.11,130.73,151.05,173.07,8610.0,5192.0,36.0,13.0,65.47,69.92,110.03,114.08,3961.0,1483.0,11372.0,2.00932902763,4733.0,479,48479,44.0,15.0,77.64,67.33,113.36,108.53,4988.0,1628.0,70.3,4.20990216425,77.05,-1.37045249489,1.78698435277,100.5,101.38,2.78175496011,70.0,11.0,62.1,51.64,107.73,101.36,7541.0,1115.0,48,1142870.0,0.0484180205304,479832.0,8724.0,3874.0,70.44,77.77,99.56,102.57,868543.0,397340.0,2006.0
56.0,20.0,115.71,91.95,153.04,118.9,8570.0,2378.0,23.0,8.0,99.7,80.88,108.39,101.5,2493.0,812.0,9229.0,-18.8445304256,3131.0,479,48479,21.0,5.0,87.76,104.2,147.76,143.8,3103.0,719.0,72.79,3.54196301565,78.06,10.4942931995,1.97451573018,114.98,116.69,14.407960199,55.0,7.0,50.91,51.71,99.27,126.71,5460.0,887.0,48,1061190.0,-0.0714691959715,365361.0,7820.0,2898.0,72.46,78.16,114.15,116.22,892678.0,336802.0,2007.0
124.0,60.0,163.97,144.07,195.35,212.33,24224.0,12740.0,52.0,12.0,116.69,80.0,180.54,169.0,9388.0,2028.0,15552.0,68.5122981905,4904.0,479,48479,28.0,4.0,63.43,41.0,114.57,116.0,3208.0,464.0,77.27,6.15469157851,92.55,-0.316790876556,1.96826064449,121.67,131.87,5.81840320056,92.0,12.0,66.22,101.67,95.74,60.67,8808.0,728.0,48,1892230.0,0.783120836043,646692.0,13232.0,4372.0,76.54,92.0,121.28,130.28,1604760.0,569568.0,2008.0
31.0,14.0,155.42,193.93,164.29,185.29,5093.0,2594.0,5.0,2.0,89.4,66.5,190.6,94.0,953.0,188.0,2852.0,-81.6615226337,868.0,479,48479,6.0,1.0,78.33,36.0,86.33,52.0,518.0,52.0,89.56,15.9052672447,105.72,-9.67362864715,1.77785841894,127.38,144.2,4.69302210898,32.0,5.0,89.75,59.6,94.44,74.0,3022.0,370.0,48,363282.0,-0.808013824958,125165.0,2320.0,764.0,90.12,105.57,131.15,145.28,304276.0,110995.0,2009.0
33.0,9.0,104.15,67.67,167.73,109.56,5535.0,986.0,6.0,1.0,198.33,98.0,392.83,114.0,2357.0,114.0,2069.0,-27.4544179523,774.0,479,48479,5.0,1.0,69.4,47.0,76.4,70.0,382.0,70.0,94.08,5.04689593569,100.4,1.45824855299,1.80378401361,135.76,138.63,6.57874077563,16.0,,62.69,,102.69,,1643.0,,48,280878.0,-0.226832047831,107300.0,1734.0,686.0,94.26,101.94,133.9,140.04,232183.0,96065.0,2010.0
24.0,16.0,121.21,119.69,152.71,129.25,3665.0,2068.0,4.0,2.0,251.5,179.0,293.5,178.5,1174.0,357.0,2040.0,-1.40164330594,813.0,479,48479,1.0,,81.0,,10.0,,10.0,,96.45,2.51913265306,107.44,-2.11953946723,1.76555209953,136.23,144.1,0.346199175015,10.0,2.0,66.1,67.5,143.1,133.5,1431.0,267.0,48,277917.0,-0.0105419434772,117156.0,1676.0,714.0,95.49,105.87,132.7,141.4,222410.0,100961.0,2011.0
32.0,17.0,85.34,76.76,131.78,112.41,4217.0,1911.0,6.0,4.0,163.5,210.75,133.5,134.75,801.0,539.0,2296.0,12.5490196078,987.0,479,48479,4.0,2.0,170.0,229.0,146.0,220.5,584.0,441.0,101.32,5.04924831519,113.16,-3.60466897512,1.70190979076,137.95,144.06,1.26257065257,5.0,2.0,77.6,37.5,75.4,99.5,377.0,199.0,48,316730.0,0.13965680401,142184.0,1966.0,891.0,101.7,113.97,139.05,144.7,273371.0,128925.0,2012.0
32.0,18.0,124.0,110.28,232.34,221.67,7435.0,3990.0,14.0,8.0,141.14,157.25,217.14,235.75,3040.0,1886.0,2902.0,26.393728223,1366.0,479,48479,4.0,2.0,85.0,83.5,106.0,130.5,424.0,261.0,95.7,-5.54678247138,106.61,7.72979624393,1.83346394984,140.37,147.5,1.75425878942,18.0,4.0,129.0,133.5,104.5,113.25,1881.0,453.0,48,407362.0,0.286149085972,201483.0,2424.0,1213.0,96.25,106.17,141.61,147.35,343261.0,178739.0,2013.0
32.0,19.0,119.59,115.79,206.19,176.53,6598.0,3354.0,9.0,3.0,87.44,109.0,187.89,224.0,1691.0,672.0,2576.0,-11.2336319779,1161.0,479,48479,6.0,3.0,104.33,42.67,129.33,114.0,776.0,342.0,90.96,-4.95297805643,101.09,3.09741612019,1.89025395778,137.55,148.88,-2.00897627698,23.0,5.0,85.57,65.2,124.13,99.4,2855.0,497.0,48,354336.0,-0.130169235226,172848.0,2219.0,1053.0,91.82,101.31,137.87,148.4,305929.0,156269.0,2014.0
