asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,,,,,,,,,273.0,,103.0,185,31185,1.0,,14.0,,6.0,,6.0,,47.74,,51.74,,1.46706116464,56.03,63.14,,1.0,,59.0,,53.0,,53.0,,31,15297.0,,6503.0,159.0,79.0,50.09,51.58,58.73,62.9,9338.0,4969.0,2000.0
,,,,,,,,1.0,,113.0,,80.0,,80.0,,452.0,65.5677655678,134.0,185,31185,1.0,1.0,59.0,59.0,105.0,105.0,105.0,105.0,58.87,23.3137829912,58.16,7.07352078882,1.57083404111,73.98,80.46,32.0364090666,,,,,,,,,31,33437.0,1.18585343531,10781.0,266.0,105.0,64.82,61.32,82.0,83.79,21811.0,8798.0,2001.0
2.0,2.0,54.5,54.5,31.0,31.0,62.0,62.0,3.0,,39.0,,57.67,,173.0,,581.0,28.5398230088,192.0,185,31185,3.0,2.0,44.67,43.0,52.0,62.5,156.0,125.0,60.6,2.93867844403,63.84,3.54014821596,1.62644389439,78.85,80.5,6.5828602325,,,,,,,,,31,45811.0,0.370069085145,15456.0,348.0,151.0,66.4,66.01,84.24,83.2,29316.0,12563.0,2002.0
3.0,,89.67,,81.67,,245.0,,3.0,1.0,32.33,48.0,65.67,79.0,197.0,79.0,829.0,42.6850258176,384.0,185,31185,5.0,3.0,43.6,43.0,131.6,124.33,658.0,373.0,61.93,2.19471947195,61.84,3.49893885757,1.68335217181,83.4,82.03,5.77045022194,2.0,,104.5,,41.5,,83.0,,31,69137.0,0.50917901814,31499.0,684.0,349.0,62.14,62.17,84.19,82.42,57585.0,28763.0,2003.0
1.0,,69.0,,213.0,,213.0,,1.0,,50.0,,60.0,,60.0,,588.0,-29.0711700844,235.0,185,31185,2.0,,54.5,,93.0,,186.0,,54.9,-11.3515259164,57.86,5.93399815667,1.78324225865,78.32,79.2,-6.09112709832,1.0,1.0,85.0,85.0,25.0,25.0,25.0,25.0,31,46052.0,-0.33390225205,18613.0,496.0,218.0,55.52,57.2,78.66,79.72,39016.0,17378.0,2004.0
,,,,,,,,3.0,,45.67,,60.67,,182.0,,504.0,-14.2857142857,234.0,185,31185,,,,,,,,,63.24,15.1912568306,73.94,-3.1787436547,1.72655755851,87.35,97.58,11.5296220633,1.0,1.0,49.0,49.0,104.0,104.0,104.0,104.0,31,44023.0,-0.0440588899505,22833.0,446.0,225.0,64.26,73.35,88.15,97.5,39313.0,21937.0,2005.0
,,,,,,,,,,,,,,,,439.0,-12.8968253968,191.0,185,31185,,,,,,,,,62.03,-1.91334598355,67.53,-5.49575648026,1.6316701596,80.97,78.41,-7.30394962793,3.0,1.0,76.33,96.0,73.33,112.0,220.0,112.0,31,35544.0,-0.192603866161,14976.0,381.0,182.0,63.47,68.06,81.28,78.77,30969.0,14337.0,2006.0
1.0,,29.0,,90.0,,90.0,,1.0,,46.0,,83.0,,83.0,,367.0,-16.4009111617,142.0,185,31185,,,,,,,,,62.56,0.854425278091,66.56,9.0717683162,1.77969149616,89.07,96.87,10.003705076,1.0,,59.0,,30.0,,30.0,,31,32690.0,-0.0802948458249,13755.0,328.0,130.0,63.23,66.71,88.76,95.52,29113.0,12417.0,2007.0
4.0,4.0,30.0,30.0,70.0,70.0,280.0,280.0,,,,,,,,,948.0,158.310626703,520.0,185,31185,,,,,,,,,74.77,19.5172634271,79.06,-1.76980298055,1.74819446302,104.57,110.1,17.4020433367,4.0,,35.0,,65.0,,260.0,,31,99136.0,2.03260936066,57252.0,824.0,476.0,75.81,79.63,107.36,110.87,88468.0,52772.0,2008.0
,,,,,,,,,,,,,,,,290.0,-69.4092827004,182.0,185,31185,,,,,,,,,88.37,18.1891132807,92.34,6.5698040859,1.86304741428,131.71,138.95,25.9539064741,,,,,,,,,31,38196.0,-0.614711103938,25289.0,278.0,182.0,89.67,92.34,133.63,138.95,37149.0,25289.0,2009.0
1.0,1.0,48.0,48.0,77.0,77.0,77.0,77.0,,,,,,,,,252.0,-13.1034482759,169.0,185,31185,,,,,,,,,96.06,8.7020482064,110.62,-23.1341259725,1.43204767853,110.05,112.91,-16.4452205603,4.0,1.0,26.0,29.0,51.25,43.0,205.0,43.0,31,27732.0,-0.273955387999,19082.0,232.0,156.0,98.11,112.7,111.34,114.4,25831.0,17846.0,2010.0
,,,,,,,,,,,,,,,,263.0,4.36507936508,183.0,185,31185,,,,,,,,,89.51,-6.81865500729,92.68,22.2572447671,1.75078203553,125.37,131.23,13.920945025,1.0,1.0,27.0,27.0,58.0,58.0,58.0,58.0,31,32972.0,0.188951391894,24015.0,237.0,170.0,90.97,93.94,127.44,133.8,30204.0,22746.0,2011.0
1.0,1.0,300.0,300.0,374.0,374.0,374.0,374.0,,,,,,,,,303.0,15.2091254753,227.0,185,31185,,,,,,,,,92.05,2.83767176852,96.97,-3.22474741468,1.6943237371,124.77,130.55,-0.478583393156,1.0,1.0,39.0,39.0,100.0,100.0,100.0,100.0,31,37806.0,0.146609244207,29634.0,284.0,219.0,92.32,96.41,125.27,129.73,35576.0,28410.0,2012.0
,,,,,,,,,,,,,,,,270.0,-10.8910891089,182.0,185,31185,,,,,,,,,91.97,-0.0869092884302,90.78,-4.91856761576,1.61098727846,118.53,121.88,-5.00120221207,1.0,,34.0,,80.0,,80.0,,31,32004.0,-0.153467703539,22183.0,254.0,174.0,92.46,90.23,120.71,123.63,30660.0,21512.0,2013.0
,,,,,,,,,,,,,,,,179.0,-33.7037037037,125.0,185,31185,1.0,,57.0,,92.0,,92.0,,75.83,-17.5492008264,78.35,8.5553658943,1.74881313464,106.09,111.1,-10.4952332743,4.0,3.0,57.5,55.67,84.75,85.33,339.0,256.0,31,18990.0,-0.406636670416,13887.0,165.0,118.0,75.81,76.51,108.67,113.1,17931.0,13346.0,2014.0
