year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,49,003,89.87,51.45,1946,174885,49003,2.18343051506,,,,,
2001,49,003,101.85,53.3,3161,321942,49003,2.38860225141,13.3303660843,3.59572400389,62.4357656732,0.840878291449,9.39676050731
2002,49,003,108.5,56.95,3143,341031,49003,2.38147497805,6.52920962199,6.84803001876,-0.569440050617,0.0592932888533,-0.29838678047
2003,49,003,109.6,60.0,4237,464370,49003,2.28333333333,1.01382488479,5.35557506585,34.8075087496,0.361665068571,-4.12104454685
2004,49,003,109.48,60.35,3305,361829,49003,2.2676056338,-0.109489051095,0.583333333333,-21.9966957753,-0.220817451601,-0.688804359001
2005,49,003,107.5,59.99,3357,360873,49003,2.23995665944,-1.80854950676,-0.59652029826,1.57337367625,-0.00264213205686,-1.21930259598
2006,49,003,114.14,68.2,3576,408156,49003,2.09200879765,6.17674418605,13.685614269,6.5236818588,0.131023933628,-6.60494305395
2007,49,003,145.05,71.05,3319,481409,49003,2.55190007037,27.0807779919,4.1788856305,-7.18680089485,0.17947304462,21.983237988
2008,49,003,165.2,71.39,8632,1425984,49003,2.89256198347,13.8917614616,0.478536242083,160.078336848,1.96210498765,13.3493437715
2009,49,003,161.99,71.56,2545,412256,49003,2.82961850196,-1.94309927361,0.238128589438,-70.5166821131,-0.710897176967,-2.17604607522
2010,49,003,151.8,71.85,1838,279008,49003,2.64091858038,-6.29051175999,0.405254332029,-27.7799607073,-0.323216642086,-6.66874073131
2011,49,003,147.54,72.32,1546,228101,49003,2.5501244469,-2.80632411067,0.654140570633,-15.8868335147,-0.182457133846,-3.43797548882
2012,49,003,2.98,76.54,1908,5679,49003,0.0486673634701,-97.9802087569,5.83517699115,23.4152652005,-0.975103134138,-98.0915690789
2013,49,003,147.49,80.34,1691,249413,49003,2.29477844162,4849.32885906,4.96472432715,-11.3731656184,42.9184715619,4615.23065562
2014,49,003,147.42,74.61,1103,162600,49003,2.46984318456,-0.047460844803,-7.13218820015,-34.7723240686,-0.348069266638,7.62882985831
