year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,year.1,state.1,county.1,loan_average_orig,income_average_orig,count_orig,value_orig,fips.1,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,16,73,75.23,44.69,398,29942,16073,2000,16,73,75.78,46.5,158,11974,16073,2.10421794585,,,,,
2001,16,73,79.58,52.42,473,37642,16073,2001,16,73,81.14,54.95,216,17527,16073,1.89765356734,5.78226771235,17.2969344372,18.8442211055,0.25716385011,-9.8166817233
2002,16,73,85.63,51.43,501,42903,16073,2002,16,73,91.72,53.91,232,21280,16073,2.08122691036,7.6024126665,-1.8885921404,5.91966173362,0.1397640933,9.67370157453
2003,16,73,91.22,55.0,654,59661,16073,2003,16,73,93.64,55.48,296,27717,16073,2.07318181818,6.52808595119,6.94147384795,30.5389221557,0.3906020558,-0.386555264192
2004,16,73,93.45,66.11,622,58128,16073,2004,16,73,92.64,69.76,255,23624,16073,1.7669414612,2.44463933348,20.2,-4.89296636086,-0.0256951777543,-14.7715146976
2005,16,73,99.01,56.52,642,63567,16073,2005,16,73,94.77,56.28,253,23976,16073,2.18971160651,5.94970572499,-14.5061261534,3.2154340836,0.0935693641618,23.9266639327
2006,16,73,122.3,69.5,683,83532,16073,2006,16,73,125.29,72.09,279,34957,16073,2.19964028777,23.5228764771,22.9653220099,6.38629283489,0.31407805937,0.453424150892
2007,16,73,142.87,67.75,582,83149,16073,2007,16,73,144.53,66.58,237,34254,16073,2.63597785978,16.8192968111,-2.51798561151,-14.7877013177,-0.00458506919504,19.8367694225
2008,16,73,146.54,66.28,1356,198704,16073,2008,16,73,150.25,71.06,480,72120,16073,2.76365419433,2.56876881081,-2.16974169742,132.989690722,1.38973409181,4.84360420839
2009,16,73,147.34,65.12,277,40813,16073,2009,16,73,133.95,65.06,99,13261,16073,2.82824017199,0.545926027023,-1.75015087508,-79.5722713864,-0.794604034141,2.33697753488
2010,16,73,134.77,69.96,155,20890,16073,2010,16,73,132.27,68.38,56,7407,16073,2.40798313322,-8.53128817701,7.43243243243,-44.0433212996,-0.488153284493,-14.8593122654
2011,16,73,119.29,77.02,156,18610,16073,2011,16,73,115.71,71.17,70,8100,16073,1.93602311088,-11.4862358092,10.0914808462,0.645161290323,-0.109143130685,-19.5998059882
2012,16,73,130.16,78.08,209,27204,16073,2012,16,73,133.01,65.81,113,15030,16073,2.0837602459,9.11224746416,1.37626590496,33.9743589744,0.461794734014,7.63095926857
2013,16,73,121.68,87.27,264,32123,16073,2013,16,73,120.66,102.01,133,16048,16073,1.74286696459,-6.51505838967,11.7699795082,26.3157894737,0.180818997206,-16.3595251411
2014,16,73,136.22,67.42,171,23294,16073,2014,16,73,139.77,72.28,88,12300,16073,2.52558587956,11.9493754109,-22.7455024636,-35.2272727273,-0.274849796096,44.9098485926
