year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app
2014,46,043,115.81,68.9,21,2432,46043,28099,69.67,54.33,3.0,209.0,26041,131.0,93.5,4.0,524.0,01127,97.62,46.0,13.0,1269.0,01127,93.48,64.07,1115.0,104230.0,26041,119.5,78.25,12.0,1434.0,01127,49.32,33.4,53.0,2614.0,,,,,,01127,130.6,111.6,5.0,653.0
2014,22,061,138.45,107.04,859,118931,22061,01127,77.67,40.0,3.0,233.0,48295,107.0,50.5,4.0,428.0,20043,78.0,101.0,1.0,78.0,48389,86.82,78.24,99.0,8595.0,01127,119.48,81.02,46.0,5496.0,48389,185.0,141.0,4.0,740.0,,,,,,48389,78.25,58.5,4.0,313.0
2014,46,057,127.98,86.06,96,12286,46057,51079,227.0,114.0,2.0,454.0,01127,96.31,69.77,13.0,1252.0,37183,210.75,106.35,127.0,26765.0,56017,140.99,80.91,95.0,13394.0,48389,69.58,55.36,36.0,2505.0,37183,171.7,84.18,2764.0,474565.0,,,,,,37183,250.33,126.25,3231.0,808804.0
2014,26,081,148.27,91.58,15913,2359431,26081,39173,196.0,87.0,2.0,392.0,48389,121.33,60.67,3.0,364.0,37147,138.4,68.9,10.0,1384.0,72085,112.4,58.2,171.0,19220.0,56017,147.6,64.6,10.0,1476.0,72085,129.89,83.67,9.0,1169.0,,,,,,37147,164.24,117.24,67.0,11004.0
2014,21,211,172.34,105.84,947,163208,21211,37183,215.79,99.04,76.0,16400.0,20043,115.33,74.67,3.0,346.0,48497,111.93,52.27,15.0,1679.0,37147,140.79,92.66,1919.0,270171.0,20043,84.5,78.67,6.0,507.0,37147,99.95,55.57,602.0,60172.0,,,,,,48497,130.0,59.6,5.0,650.0
2014,72,093,86.2,58.4,5,431,72093,51085,295.33,171.67,3.0,886.0,37183,256.2,125.27,1047.0,268241.0,05053,61.33,110.33,3.0,184.0,05053,92.7,69.09,338.0,31332.0,37183,227.01,121.05,3332.0,756402.0,48497,107.08,63.08,12.0,1285.0,,,,,,21207,108.0,14.0,1.0,108.0
2014,22,009,82.08,84.62,732,60079,22009,48329,185.6,96.5,10.0,1856.0,72085,101.82,65.94,49.0,4989.0,21207,101.5,103.5,2.0,203.0,47123,115.98,65.19,726.0,84202.0,37147,127.62,67.53,213.0,27183.0,05053,65.75,36.13,8.0,526.0,,,,,,47123,176.0,50.0,1.0,176.0
2014,35,031,96.53,64.28,498,48071,35031,37147,117.2,133.5,10.0,1172.0,37147,161.97,97.71,76.0,12310.0,31147,68.0,36.0,1.0,68.0,36059,375.22,176.99,15105.0,5667673.0,48497,139.78,87.26,112.0,15655.0,21207,139.0,58.5,2.0,278.0,,,,,,36059,413.64,159.16,2655.0,1098221.0
2014,47,145,129.02,74.03,1173,151341,47145,48497,93.33,82.33,3.0,280.0,48497,136.32,125.96,28.0,3817.0,47123,94.2,1299.6,5.0,471.0,42057,140.2,81.54,142.0,19909.0,05053,79.82,70.55,38.0,3033.0,47123,108.55,96.0,11.0,1194.0,,,,,,31151,92.0,36.0,1.0,92.0
2014,13,085,195.33,102.21,632,123447,13085,39139,47.0,20.0,1.0,47.0,05053,156.0,113.5,4.0,624.0,36059,368.3,193.77,66.0,24308.0,20031,88.42,82.25,170.0,15031.0,21207,100.5,163.33,12.0,1206.0,36059,255.55,110.57,1426.0,364417.0,,,,,,28033,144.72,96.24,78.0,11288.0
