year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app
2012,05,133,87.18,74.25,208,18134,05133,28099,52.0,47.0,1.0,52.0,26041,120.38,105.88,8.0,963.0,26041,92.33,56.0,3.0,277.0,01127,105.9,75.19,1793.0,189887.0,26041,114.11,78.11,9.0,1027.0,26041,183.0,58.0,1.0,183.0,,,,,,01127,70.75,44.75,4.0,283.0
2012,51,710,187.6,106.87,4885,916435,51710,47183,160.25,140.75,4.0,641.0,48295,86.29,63.29,7.0,604.0,01127,74.88,49.13,8.0,599.0,48389,84.85,84.87,47.0,3988.0,48295,75.5,157.5,2.0,151.0,01127,64.44,42.11,70.0,4511.0,,,,,,48389,151.0,450.0,1.0,151.0
2012,53,009,182.63,88.42,2431,443962,53009,01127,150.0,41.0,1.0,150.0,01127,129.9,78.3,20.0,2598.0,48389,64.5,52.0,4.0,258.0,56017,121.13,68.28,102.0,12355.0,01127,87.57,60.38,120.0,10508.0,48389,150.0,58.0,1.0,150.0,,,,,,37183,235.62,122.73,5192.0,1223334.0
2012,12,049,99.05,63.16,164,16245,12049,39173,136.75,69.75,4.0,547.0,56017,205.9,117.6,10.0,2059.0,20043,14.0,29.0,2.0,28.0,72085,114.52,50.08,271.0,31036.0,48389,62.1,74.8,20.0,1242.0,56017,80.0,74.0,1.0,80.0,,,,,,37147,167.29,117.41,99.0,16562.0
2012,40,097,108.08,80.86,744,80409,40097,37183,207.32,104.21,151.0,31306.0,20043,104.0,37.0,1.0,104.0,37183,221.94,118.55,159.0,35288.0,37147,144.71,99.63,3592.0,519784.0,56017,160.5,83.67,6.0,963.0,20043,106.75,27.5,4.0,427.0,,,,,,48497,69.75,101.25,4.0,279.0
2012,47,187,287.88,144.94,16402,4721849,47187,51085,213.25,162.5,8.0,1706.0,37183,233.42,127.12,2311.0,539427.0,72085,275.0,119.0,1.0,275.0,05053,96.79,70.1,481.0,46558.0,20043,116.27,141.82,11.0,1279.0,37183,167.87,87.45,3211.0,539033.0,,,,,,05053,100.0,68.0,1.0,100.0
2012,39,113,121.12,90.73,18058,2187257,39113,48329,228.0,100.0,1.0,228.0,72085,121.62,56.96,26.0,3162.0,37147,120.0,70.05,22.0,2640.0,47123,129.09,67.57,1265.0,163305.0,37183,220.97,124.47,6449.0,1425039.0,72085,91.2,40.55,20.0,1824.0,,,,,,21207,62.0,65.0,2.0,124.0
2012,53,061,234.08,106.63,41427,9697048,53061,37147,186.17,140.33,6.0,1117.0,37147,156.88,102.99,134.0,21022.0,48497,93.5,86.19,16.0,1496.0,36059,331.23,171.71,27488.0,9104791.0,72085,78.0,42.0,1.0,78.0,37147,93.73,53.66,744.0,69738.0,,,,,,47123,229.75,242.75,4.0,919.0
2012,22,095,123.08,76.29,966,118894,22095,48497,98.75,69.25,4.0,395.0,48497,154.17,136.97,58.0,8942.0,05053,109.0,37.0,5.0,545.0,42057,145.35,80.71,250.0,36337.0,37147,139.08,84.04,312.0,43392.0,48497,94.86,77.86,7.0,664.0,,,,,,36059,383.05,167.02,3314.0,1269429.0
2012,17,167,131.34,107.19,11476,1507240,17167,39139,124.0,104.0,1.0,124.0,05053,138.5,92.69,16.0,2216.0,21207,92.0,87.0,2.0,184.0,20031,102.14,79.78,199.0,20325.0,48497,153.46,104.97,149.0,22866.0,05053,51.4,44.7,10.0,514.0,,,,,,31151,107.67,59.17,6.0,646.0
