year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,21,099,49.13,36.49,707,34737,21099,1.68299534119,,,,,
2001,21,099,56.6,40.19,644,36451,21099,1.76038815626,15.2045593324,10.139764319,-8.91089108911,0.0493421999597,4.59851629855
2002,21,099,63.29,43.66,616,38989,21099,1.81201328447,11.8197879859,8.63398855437,-4.34782608696,0.0696277194041,2.93259915602
2003,21,099,69.29,51.51,765,53008,21099,1.68146961755,9.48017064307,17.979844251,24.1883116883,0.359562953654,-7.20434381137
2004,21,099,69.78,49.19,767,53525,21099,1.7732262655,0.707172752201,-4.50397980975,0.261437908497,0.00975324479324,5.45693166225
2005,21,099,78.05,50.37,833,65019,21099,1.93691681556,11.8515333907,2.39886155723,8.60495436767,0.214740775339,9.23122746648
2006,21,099,77.32,53.16,796,61544,21099,1.81809631302,-0.935297885971,5.53901131626,-4.44177671068,-0.0534459158092,-6.13451757931
2007,21,099,73.54,52.1,797,58609,21099,1.76439539347,-4.88877392654,-1.99398043642,0.125628140704,-0.0476894579488,-2.95368948051
2008,21,099,81.92,56.06,2528,207096,21099,1.82661434178,11.3951590971,7.60076775432,217.189460477,2.53351874286,3.52636084478
2009,21,099,88.21,64.81,531,46842,21099,1.70131924086,7.67822265625,15.6082768462,-78.9952531646,-0.773815042299,-6.85941734131
2010,21,099,81.24,60.06,441,35829,21099,1.69080919081,-7.90159845822,-7.32911587718,-16.9491525424,-0.2351095171,-0.61775884245
2011,21,099,86.89,61.74,427,37100,21099,1.75919177195,6.95470211718,2.7972027972,-3.1746031746,0.0354740573279,4.04437008678
2012,21,099,2.96,62.84,395,1169,21099,0.0588796944621,-96.5933939464,1.78166504697,-7.49414519906,-0.968490566038,-96.6530258155
2013,21,099,92.6,67.05,430,39818,21099,1.72632363908,3028.37837838,6.69955442393,8.86075949367,33.0615911035,2831.95074269
2014,21,099,87.87,65.39,373,32775,21099,1.67972931641,-5.10799136069,-2.47576435496,-13.2558139535,-0.176879803104,-2.69904910131
