year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,fips,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,fips,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,fips,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,fips,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,fips,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,fips,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,fips,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,fips,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2000,26,017,26017,71.29,55.47,2711,193273,05113,51.0,16.0,1.0,51.0,24033,132.74,79.0,5435.0,721442.0,29049,170.0,58.0,1.0,170.0,48195,43.88,48.65,17.0,746.0,22105,86.8,83.6,10.0,868.0,21183,49.63,36.63,46.0,2283.0,32NA ,156.0,66.2,5.0,780.0,21021,94.0,104.75,4.0,376.0
2000,54,043,54043,49.37,38.63,278,13726,29229,29.0,38.0,1.0,29.0,06052,135.0,50.0,1.0,135.0,72009,209.0,54.0,1.0,209.0,36061,348.49,280.36,8922.0,3109267.0,40097,80.11,53.22,9.0,721.0,21081,63.18,49.9,105.0,6634.0,45031,47.67,46.17,6.0,286.0,22017,73.2,102.6,15.0,1098.0
2000,55,041,55041,74.96,74.79,120,8995,36051,51.6,60.6,5.0,258.0,29219,82.67,69.33,6.0,496.0,15007,146.71,65.31,251.0,36824.0,27079,93.6,62.94,398.0,37251.0,36013,50.79,42.08,24.0,1219.0,05025,42.08,38.0,12.0,505.0,48465,130.0,101.0,1.0,130.0,01057,62.0,23.0,1.0,62.0
2000,08,029,08029,80.63,49.1,666,53698,48489,35.0,16.0,1.0,35.0,36051,56.33,332.0,3.0,169.0,48189,59.0,125.0,2.0,118.0,18073,83.0,54.9,495.0,41087.0,25007,252.0,98.0,3.0,756.0,72131,50.0,18.0,1.0,50.0,12083,82.46,97.09,57.0,4700.0,35013,16.85,19.38,13.0,219.0
2000,31,141,31141,73.76,54.97,264,19473,04001,39.33,36.6,198.0,7788.0,48391,39.5,24.75,4.0,158.0,12027,50.0,25.0,1.0,50.0,21183,51.48,43.15,287.0,14775.0,02NA ,139.0,66.0,2.0,278.0,37129,107.16,74.45,707.0,75761.0,51127,77.0,69.0,1.0,77.0,51067,105.0,68.0,1.0,105.0
2000,26,007,26007,82.54,60.38,362,29881,17137,61.0,42.0,2.0,122.0,17137,50.0,22.0,1.0,50.0,53065,48.0,25.0,1.0,48.0,21081,72.53,55.1,667.0,48375.0,20127,68.0,86.0,1.0,68.0,27055,90.76,58.29,42.0,3812.0,21067,86.81,65.8,54.0,4688.0,17141,51.5,135.5,2.0,103.0
2000,27,113,27113,55.34,49.99,169,9353,22013,164.0,20.0,1.0,164.0,22023,38.67,59.67,3.0,116.0,39143,78.2,42.6,5.0,391.0,05025,48.27,46.51,37.0,1786.0,48141,65.19,51.35,3539.0,230696.0,26013,78.8,47.0,15.0,1182.0,21021,58.0,62.0,1.0,58.0,51109,89.5,36.0,2.0,179.0
2000,54,057,54057,65.85,49.48,374,24629,17045,30.5,13.0,2.0,61.0,22013,70.5,67.0,2.0,141.0,27101,74.0,120.0,1.0,74.0,37129,136.22,89.23,3287.0,447752.0,55019,59.0,50.0,1.0,59.0,72009,26.0,20.0,1.0,26.0,37041,56.5,31.0,2.0,113.0,48091,129.3,736.9,10.0,1293.0
2000,02,282,02282,93.5,61.5,2,187,21047,63.33,55.67,3.0,190.0,17045,37.0,65.0,1.0,37.0,32NA ,160.73,105.13,15.0,2411.0,27055,74.97,55.29,405.0,30361.0,19165,86.0,32.0,1.0,86.0,15007,202.47,180.24,145.0,29358.0,39105,48.75,26.75,4.0,195.0,04013,112.9,103.66,134.0,15129.0
2000,31,061,31061,41.13,41.5,8,329,01003,80.61,64.43,23.0,1854.0,21047,47.23,47.94,78.0,3684.0,45031,37.0,38.33,3.0,111.0,26013,77.59,54.46,59.0,4578.0,13103,61.0,29.17,6.0,366.0,48189,39.47,44.08,36.0,1421.0,22017,81.31,58.85,13.0,1057.0,30105,21.0,40.0,1.0,21.0
