asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,182.0,45.0,33.54,40.22,47.31,48.76,8611.0,2194.0,595.0,,183.0,187,37187,4.0,,38.0,,61.75,,247.0,,40.86,,49.76,,1.6094591287322562,52.61,54.38,,2.0,1.0,28.0,20.0,50.5,76.0,101.0,76.0,37,31304.0,,9952.0,147.0,76.0,54.16,63.59,58.8,55.08,8643.0,4186.0,2000.0
,,,,,,,,122.0,31.0,35.16,46.9,51.63,47.13,6299.0,1461.0,548.0,-7.899159663865552,168.0,187,37187,4.0,,31.0,,62.0,,248.0,,43.04,5.3352912383749285,53.6,1.5935632122181298,1.6351068773234199,56.3,64.74,7.013875689032489,1.0,,63.0,,52.0,,52.0,,37,30851.0,-0.01447099412215691,10876.0,177.0,105.0,50.96,59.11,64.77,72.16,11464.0,7577.0,2001.0
,,,,,,,,87.0,35.0,39.99,54.06,51.71,52.34,4499.0,1832.0,490.0,-10.58394160583942,191.0,187,37187,1.0,1.0,34.0,34.0,12.0,12.0,12.0,12.0,49.86,15.845724907063197,62.2,-2.2862879294707095,1.597723626153229,63.73,71.84,13.19715808170514,1.0,,30.0,,50.0,,50.0,,37,31227.0,0.01218761142264424,13721.0,173.0,100.0,62.21,70.76,75.53,81.28,13067.0,8128.0,2002.0
2.0,2.0,293.0,293.0,169.0,169.0,338.0,338.0,123.0,36.0,39.78,53.36,58.9,60.5,7245.0,2178.0,572.0,16.73469387755102,225.0,187,37187,1.0,1.0,44.0,44.0,115.0,115.0,115.0,115.0,62.9,26.153229041315672,79.39,-10.295665562462064,1.433227344992051,72.12,77.98,13.164914482975053,,,,,,,,,37,41251.0,0.3210042591347231,17546.0,306.0,158.0,76.19,86.37,78.74,81.39,24095.0,12860.0,2003.0
6.0,3.0,45.17,54.67,70.83,53.33,425.0,160.0,187.0,54.0,42.54,55.54,57.55,54.65,10762.0,2951.0,511.0,-10.664335664335667,190.0,187,37187,1.0,,29.0,,58.0,,58.0,,52.69,-16.232114467408586,67.72,21.47967364655625,1.7410799013095464,73.39,79.87,1.7609539656128659,,,,,,,,,37,37503.0,-0.09085840343264406,15175.0,225.0,112.0,61.11,77.09,85.55,92.23,19248.0,10330.0,2004.0
,,,,,,,,179.0,45.0,44.21,47.73,66.61,69.04,11923.0,3107.0,571.0,11.741682974559687,220.0,187,37187,,,,,,,,,62.13,17.91611311444299,70.4,-1.396642561900785,1.716763238371157,85.33,90.04,16.2692464913476,3.0,3.0,82.0,82.0,119.67,119.67,359.0,359.0,37,48722.0,0.2991494013812228,19808.0,276.0,151.0,75.2,75.64,93.25,93.44,25737.0,14109.0,2005.0
3.0,2.0,65.33,48.0,79.33,100.0,238.0,200.0,179.0,60.0,46.51,45.6,72.57,72.95,12990.0,4377.0,564.0,-1.2259194395796813,234.0,187,37187,,,,,,,,,62.71,0.933526476742319,64.85,-0.01924857919790579,1.7164327858395787,86.11,86.77,0.9140982069612003,1.0,,44.0,,60.0,,60.0,,37,48566.0,-0.0032018390049669554,20304.0,267.0,143.0,73.82,72.76,91.94,92.34,24549.0,13204.0,2006.0
2.0,2.0,140.0,140.0,103.5,103.5,207.0,207.0,165.0,53.0,47.15,47.94,82.25,71.17,13571.0,3772.0,504.0,-10.63829787234043,195.0,187,37187,2.0,1.0,67.5,92.0,152.5,250.0,305.0,250.0,60.86,-2.950087705310156,65.94,17.853748651933678,2.0228803812027603,98.49,94.04,14.376959702705827,2.0,1.0,35.0,39.0,154.5,185.0,309.0,185.0,37,49637.0,0.022052464687229767,18338.0,232.0,116.0,72.88,73.36,111.0,99.66,25753.0,11561.0,2007.0
4.0,,165.0,,36.0,,144.0,,492.0,160.0,50.89,45.6,82.56,77.05,40620.0,12328.0,1320.0,161.9047619047619,528.0,187,37187,,,,,,,,,58.54,-3.81202760433782,56.18,-3.4258887610850053,1.9535787495729413,91.49,91.91,-7.107320540156358,8.0,,43.0,,55.5,,444.0,,37,120772.0,1.4331043374901786,48528.0,656.0,332.0,63.91,61.47,98.13,98.04,64372.0,32548.0,2008.0
,,,,,,,,79.0,18.0,47.84,52.06,76.46,71.06,6040.0,1279.0,275.0,-79.16666666666666,113.0,187,37187,,,,,,,,,66.64,13.836692859583199,78.57,1.2201820284349685,1.9774159663865547,105.42,117.46,15.225707727620508,1.0,,146.0,,126.0,,126.0,,37,28990.0,-0.7599609180935979,13273.0,155.0,78.0,73.86,83.92,120.13,129.32,18620.0,10087.0,2009.0
