asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
1.0,1.0,25.0,25.0,80.0,80.0,80.0,80.0,12.0,6.0,35.0,45.33,62.17,72.67,746.0,436.0,1037.0,,344.0,183,21183,3.0,1.0,22.33,14.0,26.33,13.0,79.0,13.0,37.1,,42.04,,1.6378032345013476,48.61,51.5,,4.0,1.0,27.5,20.0,36.0,31.0,144.0,31.0,21,50413.0,,17715.0,655.0,287.0,38.25,43.15,48.52,51.48,31782.0,14775.0,2000.0
2.0,1.0,53.5,58.0,50.0,50.0,100.0,50.0,7.0,3.0,35.14,38.0,36.29,31.67,254.0,95.0,1063.0,2.507232401157178,435.0,183,21183,1.0,1.0,47.0,47.0,18.0,18.0,18.0,18.0,44.23,19.218328840970344,52.49,-2.9542186183079244,1.5894189464164594,56.24,59.31,15.696358773914842,1.0,1.0,30.0,30.0,29.0,29.0,29.0,29.0,21,59778.0,0.18576557633943636,25798.0,579.0,329.0,49.76,55.9,60.06,60.7,34777.0,19971.0,2001.0
,,,,,,,,8.0,2.0,35.75,43.5,42.5,36.5,340.0,73.0,832.0,-21.73095014111006,369.0,183,21183,2.0,1.0,44.5,65.0,73.0,80.0,146.0,80.0,48.83,10.400180872710841,55.91,-0.030700613415080014,1.588930985050174,62.07,65.24,10.366287339971535,2.0,2.0,56.0,56.0,102.0,102.0,204.0,204.0,21,51640.0,-0.13613704038274954,24075.0,526.0,310.0,50.38,56.08,62.59,65.1,32924.0,20180.0,2002.0
,,,,,,,,13.0,10.0,45.69,44.9,58.54,51.6,761.0,516.0,1004.0,20.673076923076916,444.0,183,21183,6.0,2.0,28.83,52.0,78.67,37.5,472.0,75.0,52.31,7.1267663321728625,57.1,2.882106853477273,1.634725673867329,68.41,68.35,10.214274206540995,2.0,,42.5,,63.0,,126.0,,21,68688.0,0.3301316808675445,30348.0,776.0,382.0,51.84,56.39,67.07,69.16,52049.0,26420.0,2003.0
2.0,1.0,60.5,57.0,82.0,114.0,164.0,114.0,9.0,1.0,47.56,135.0,76.0,216.0,684.0,216.0,972.0,-3.1872509960159334,330.0,183,21183,3.0,1.0,56.0,61.0,54.0,70.0,162.0,70.0,46.77,-10.590709233416174,49.5,6.825981032185391,1.7463117382937778,65.34,63.57,-4.487648004677669,3.0,,38.0,,55.33,,166.0,,21,63507.0,-0.07542802236198465,20977.0,789.0,295.0,46.71,48.99,65.15,63.52,51407.0,18739.0,2004.0
2.0,1.0,69.0,91.0,49.5,80.0,99.0,80.0,10.0,2.0,42.5,23.5,59.4,52.0,594.0,104.0,930.0,-4.320987654320985,308.0,183,21183,1.0,,26.0,,10.0,,10.0,,48.51,3.7203335471456045,51.1,4.8680712789331615,1.8313234384662955,71.07,70.18,8.769513314967847,5.0,,55.6,,158.2,,791.0,,21,66094.0,0.04073566693435371,21616.0,741.0,262.0,46.79,49.17,69.17,68.38,51253.0,17916.0,2005.0
1.0,1.0,324.0,324.0,159.0,159.0,159.0,159.0,4.0,1.0,46.5,69.0,67.75,95.0,271.0,95.0,855.0,-8.064516129032262,299.0,183,21183,1.0,,9.0,,19.0,,19.0,,52.49,8.204493918779644,58.23,-5.306741576376983,1.7341398361592681,72.82,70.95,2.462361052483475,3.0,1.0,24.67,27.0,80.33,53.0,241.0,53.0,21,62258.0,-0.05803855115441647,21214.0,715.0,266.0,52.1,57.04,72.03,69.57,51505.0,18505.0,2006.0
,,,,,,,,6.0,1.0,49.5,21.0,60.67,42.0,364.0,42.0,767.0,-10.292397660818708,323.0,183,21183,3.0,2.0,58.67,54.0,148.67,127.5,446.0,255.0,52.28,-0.4000762049914286,58.43,10.949237169051695,1.924014919663351,80.47,82.44,10.505355671518824,1.0,,90.0,,250.0,,250.0,,21,61721.0,-0.00862539753927205,26629.0,691.0,304.0,51.83,57.79,80.3,81.73,55485.0,24845.0,2007.0
4.0,,30.0,,86.0,,344.0,,16.0,,41.0,,92.75,,1484.0,,1568.0,104.43285528031292,652.0,183,21183,,,,,,,,,61.33,17.310635042081103,64.01,-8.114278313262757,1.7678949942931679,86.74,88.25,7.7917236237107,8.0,4.0,84.0,125.0,136.0,194.0,1088.0,776.0,21,136008.0,1.2035935905121433,57536.0,1440.0,620.0,61.2,63.93,84.9,87.68,122252.0,54360.0,2008.0
1.0,1.0,77.0,77.0,187.0,187.0,187.0,187.0,,,,,,,,,351.0,-77.61479591836735,194.0,183,21183,1.0,,39.0,,134.0,,134.0,,64.7,5.494863851296272,69.62,0.2882372625612195,1.7729907264296751,91.77,89.35,5.7989393590039295,1.0,1.0,87.0,87.0,26.0,26.0,26.0,26.0,21,32213.0,-0.7631536380212929,17334.0,316.0,185.0,65.8,69.57,93.02,88.48,29394.0,16369.0,2009.0
