asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,4.0,1.0,31.0,36.0,65.25,65.0,261.0,65.0,423.0,,203.0,063,29063,1.0,,63.0,,66.0,,66.0,,45.34,,49.73,,1.82620202911,66.24,72.38,,4.0,4.0,44.0,44.0,60.75,60.75,243.0,243.0,29,28019.0,,14694.0,289.0,173.0,45.29,48.94,68.01,71.4,19654.0,12353.0,2000.0
2.0,2.0,54.0,54.0,93.5,93.5,187.0,187.0,1.0,1.0,33.0,33.0,66.0,66.0,66.0,66.0,561.0,32.6241134752,301.0,063,29063,,,,,,,,,49.46,9.08689898544,53.31,1.92479136998,1.86135260817,73.65,76.26,11.1865942029,,,,,,,,,29,41320.0,0.474713587209,22954.0,358.0,245.0,50.42,53.49,76.29,77.82,27311.0,19065.0,2001.0
1.0,,34.0,,108.0,,108.0,,1.0,,40.0,,116.0,,116.0,,523.0,-6.77361853832,260.0,063,29063,5.0,2.0,52.2,44.5,76.8,57.0,384.0,114.0,53.61,8.39061868176,54.43,6.43909465067,1.98120686439,84.97,84.4,15.3699932111,2.0,1.0,82.5,70.0,78.5,78.0,157.0,78.0,29,44437.0,0.075435624395,21945.0,338.0,224.0,52.83,53.91,85.56,83.7,28919.0,18748.0,2002.0
,,,,,,,,3.0,1.0,39.67,35.0,112.33,69.0,337.0,69.0,739.0,41.3001912046,371.0,063,29063,4.0,4.0,48.5,48.5,106.0,106.0,424.0,424.0,54.44,1.54821861593,55.12,2.39261304742,2.02860947832,88.35,88.14,3.97787454396,,,,,,,,,29,65289.0,0.46924859914,32701.0,611.0,337.0,54.2,55.76,89.75,88.72,54840.0,29899.0,2003.0
,,,,,,,,7.0,6.0,62.29,64.83,113.43,109.0,794.0,654.0,685.0,-7.30717185386,329.0,063,29063,,,,,,,,,50.39,-7.43938280676,52.61,2.38781982708,2.07704901766,83.73,90.01,-5.22920203735,2.0,,69.5,,88.0,,176.0,,29,57358.0,-0.121475286802,29614.0,561.0,297.0,50.89,51.92,82.92,88.55,46516.0,26300.0,2004.0
3.0,1.0,79.0,139.0,164.67,163.0,494.0,163.0,4.0,2.0,48.0,52.5,128.5,132.5,514.0,265.0,667.0,-2.62773722628,286.0,063,29063,1.0,,39.0,,46.0,,46.0,,58.04,15.1815836475,60.99,-7.61242509089,1.91893521709,89.1,91.0,6.41347187388,3.0,1.0,58.33,80.0,92.67,135.0,278.0,135.0,29,59430.0,0.0361239931657,26026.0,583.0,268.0,55.36,59.18,86.82,89.27,50618.0,23925.0,2005.0
5.0,1.0,78.8,83.0,148.8,171.0,744.0,171.0,6.0,2.0,50.67,26.5,127.17,146.0,763.0,292.0,610.0,-8.54572713643,248.0,063,29063,,,,,,,,,56.0,-3.51481736733,58.18,9.34263267597,2.09821428571,94.0,94.92,5.49943883277,3.0,1.0,46.67,42.0,131.33,98.0,394.0,98.0,29,57341.0,-0.0351505973414,23540.0,506.0,232.0,55.96,58.04,92.14,94.7,46622.0,21971.0,2006.0
2.0,1.0,50.0,46.0,120.5,141.0,241.0,141.0,3.0,,25.33,,74.67,,224.0,,515.0,-15.5737704918,214.0,063,29063,,,,,,,,,60.42,7.89285714286,58.67,0.385246536655,2.10629758358,101.81,91.66,8.3085106383,5.0,1.0,76.0,80.0,167.0,230.0,835.0,230.0,29,52432.0,-0.0856106450882,19615.0,453.0,202.0,60.08,58.33,100.09,90.37,45342.0,18255.0,2007.0
4.0,,49.0,,45.0,,180.0,,,,,,,,,,1072.0,108.155339806,528.0,063,29063,4.0,4.0,95.0,95.0,150.0,150.0,600.0,600.0,68.68,13.6709698775,67.4,-6.11640146202,1.97746796738,108.65,104.15,6.71839701405,16.0,,84.0,,103.0,,1648.0,,29,116472.0,1.22139151663,54992.0,952.0,508.0,68.17,67.57,108.3,101.58,103104.0,51604.0,2008.0
1.0,,200.0,,120.0,,120.0,,,,,,,,,,279.0,-73.973880597,147.0,063,29063,1.0,1.0,108.0,108.0,151.0,151.0,151.0,151.0,67.02,-2.41700640652,65.65,5.81574168641,2.0924723963,112.19,111.16,3.25816843074,2.0,1.0,113.0,116.0,134.5,125.0,269.0,125.0,29,31301.0,-0.731257297891,16341.0,253.0,139.0,65.34,65.01,110.38,110.01,27927.0,15292.0,2009.0
,,,,,,,,,,,,,,,,214.0,-23.2974910394,114.0,063,29063,,,,,,,,,68.91,2.82005371531,74.03,-3.62694388985,2.01657959658,111.17,115.61,-0.909171940458,1.0,,28.0,,76.0,,76.0,,29,23790.0,-0.239960384652,13179.0,198.0,111.0,69.34,74.59,111.44,115.87,22066.0,12862.0,2010.0
1.0,1.0,29.0,29.0,106.0,106.0,106.0,106.0,,,,,,,,,188.0,-12.1495327103,108.0,063,29063,2.0,1.0,99.5,68.0,194.0,188.0,388.0,188.0,66.31,-3.77303729502,67.4,3.98641276299,2.09696878299,111.24,113.67,0.0629666276873,,,,,,,,,29,20913.0,-0.120933165195,12276.0,168.0,103.0,66.65,67.88,109.83,114.32,18451.0,11775.0,2011.0
2.0,1.0,239.0,178.0,135.5,111.0,271.0,111.0,1.0,,86.0,,207.0,,207.0,,201.0,6.91489361702,132.0,063,29063,,,,,,,,,75.67,14.1155180214,79.2,-19.7980825921,1.6818091714,101.81,108.17,-8.47716648688,,,,,,,,,29,20463.0,-0.021517716253,14278.0,175.0,121.0,74.42,78.74,102.35,110.38,17911.0,13356.0,2012.0
1.0,,142.0,,110.0,,110.0,,,,,,,,,,222.0,10.447761194,126.0,063,29063,,,,,,,,,74.49,-1.55940266949,82.71,18.1173399409,1.98650825614,118.38,122.98,16.2754149887,1.0,1.0,508.0,508.0,206.0,206.0,206.0,206.0,29,26281.0,0.284318037433,15496.0,204.0,121.0,72.25,78.5,119.78,123.21,24435.0,14908.0,2013.0
