year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,72,025,90.76,58.18,3300,299505,72025,1.94998281196,,,,,
2001,72,025,110.43,62.17,4924,543739,72025,2.22032330706,21.6725429705,6.85802681334,49.2121212121,0.81545884042,13.8637373335
2002,72,025,121.5,63.99,5612,681845,72025,2.37341772152,10.0244498778,2.92745697282,13.9723801787,0.25399318423,6.89514062978
2003,72,025,123.95,62.18,7568,938087,72025,2.49175779994,2.01646090535,-2.82856696359,34.8538845331,0.375806818265,4.98606197062
2004,72,025,133.5,64.32,5981,798490,72025,2.59444962687,7.70471964502,3.44162110003,-20.9698731501,-0.148810291583,4.12126037822
2005,72,025,135.75,67.81,6670,905436,72025,2.50239640171,1.68539325843,5.42599502488,11.5198127403,0.133935302884,-3.54808296148
2006,72,025,148.08,71.96,4986,738320,72025,2.57226236798,9.08287292818,6.12004129184,-25.2473763118,-0.184569643796,2.79196238549
2007,72,025,146.58,77.19,4034,591291,72025,2.37368830159,-1.01296596434,7.2679266259,-19.0934616927,-0.199139939322,-7.71982161931
2008,72,025,139.52,74.16,10604,1479520,72025,2.35167206041,-4.81648246691,-3.9253789351,162.865642043,1.50218589493,-0.927511888093
2009,72,025,132.51,77.16,2100,278280,72025,2.14667573872,-5.02436926606,4.04530744337,-80.1961523953,-0.81191197145,-8.71704542212
2010,72,025,127.33,69.22,1358,172920,72025,2.29937156891,-3.90913893291,-10.290305858,-35.3333333333,-0.378611470461,7.11312973038
2011,72,025,126.89,64.94,1535,194778,72025,2.44244687404,-0.345558784261,-6.18318405085,13.0338733432,0.126405274115,6.2223655829
2012,72,025,2.98,68.21,1574,4696,72025,0.0546107608855,-97.6515091812,5.03541730828,2.54071661238,-0.975890500981,-97.7640962649
2013,72,025,144.56,70.48,1518,219441,72025,2.56384790011,4751.00671141,3.32795777745,-3.55781448539,45.7293441227,4594.7668528
2014,72,025,130.36,65.82,1231,160468,72025,2.47569127925,-9.82291090205,-6.61180476731,-18.906455863,-0.268741939747,-3.43844971705
