year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app
2000,51,175,51175,62.2,45.33,601,37380,48.5,77.0,2.0,97.0,53.26,42.05,141.0,7510.0,64.0,39.0,1.0,64.0,80.42,51.29,196.0,15762.0,99.0,34.0,1.0,99.0
2000,05,069,05069,47.12,43.07,3266,153893,36.86,76.14,7.0,258.0,44.13,38.13,693.0,30580.0,97.09,67.27,11.0,1068.0,51.31,49.81,1191.0,61107.0,52.74,43.58,19.0,1002.0
2000,53,041,53041,91.41,54.75,3369,307968,91.86,52.97,36.0,3307.0,167.1,116.2,10.0,1671.0,111.12,61.18,17.0,1889.0,94.0,53.33,2410.0,226552.0,87.37,45.33,67.0,5854.0
2000,51,099,51099,93.01,62.0,639,59434,49.75,52.25,4.0,199.0,80.06,55.48,67.0,5364.0,170.0,204.0,2.0,340.0,107.6,64.96,347.0,37336.0,111.33,94.0,3.0,334.0
2000,28,101,28101,41.49,36.33,959,39791,33.5,27.38,8.0,268.0,37.07,28.1,249.0,9230.0,,,,,44.37,42.69,422.0,18724.0,86.67,43.67,6.0,520.0
2000,21,077,21077,64.03,44.55,453,29004,,,,,66.2,46.2,5.0,331.0,,,,,64.85,44.29,294.0,19066.0,50.86,44.0,7.0,356.0
2000,32,011,32011,58.72,52.38,29,1703,,,,,,,,,,,,,55.42,50.0,19.0,1053.0,60.0,33.0,1.0,60.0
2000,16,NA ,16NA ,68.77,49.06,649,44630,54.67,29.11,9.0,492.0,61.33,21.33,6.0,368.0,110.0,33.0,1.0,110.0,71.06,52.1,487.0,34608.0,57.67,41.88,43.0,2480.0
2000,27,163,27163,128.89,79.14,12834,1654112,88.65,57.9,40.0,3546.0,140.19,74.6,141.0,19767.0,150.26,78.39,256.0,38466.0,137.45,80.23,9414.0,1293956.0,140.87,80.41,102.0,14369.0
2000,20,159,20159,47.14,44.01,162,7637,,,,,,,,,,,,,46.57,47.46,61.0,2841.0,104.5,54.0,2.0,209.0
2000,12,827,12827,220.0,145.0,1,220,,,,,,,,,,,,,220.0,145.0,1.0,220.0,,,,
2000,37,103,37103,57.88,38.66,472,27319,33.0,16.0,1.0,33.0,55.08,32.39,145.0,7987.0,,,,,61.32,42.67,184.0,11283.0,43.0,22.33,3.0,129.0
2000,37,055,37055,153.35,113.17,2957,453442,143.91,80.09,11.0,1583.0,106.8,60.98,45.0,4806.0,171.38,115.25,8.0,1371.0,163.17,117.41,2322.0,378884.0,91.83,67.0,6.0,551.0
2000,48,077,48077,54.61,51.37,228,12452,57.0,144.0,3.0,171.0,63.0,27.0,1.0,63.0,,,,,52.51,52.71,156.0,8191.0,110.2,57.4,5.0,551.0
