year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2007,36,119,36119,384.74,189.93,39811,15316727,323.43,148.75,174.0,56277.0,331.5,128.63,4503.0,1492726.0,400.01,199.68,1494.0,597610.0,394.42,201.25,23794.0,9384836.0,332.59,137.0,179.0,59533.0,371.06,186.51,709.0,263081.0,386.54,191.19,8958.0,3462664.0,,,,
2007,54,003,54003,170.63,80.2,9190,1568097,148.06,73.0,35.0,5182.0,202.8,81.97,625.0,126749.0,177.09,87.59,82.0,14521.0,166.51,78.33,6966.0,1159912.0,154.39,104.04,23.0,3551.0,177.98,116.31,274.0,48766.0,176.72,81.15,1185.0,209416.0,,,,
2007,33,NA ,33NA ,172.33,62.39,505,87025,87.0,47.0,1.0,87.0,232.1,64.8,20.0,4642.0,175.75,48.5,4.0,703.0,167.66,61.58,426.0,71425.0,181.67,51.33,3.0,545.0,,,,,188.69,70.24,51.0,9623.0,,,,
2007,32,027,32027,114.53,93.42,217,24853,266.0,99.75,4.0,1064.0,70.0,60.0,1.0,70.0,184.67,87.67,3.0,554.0,104.0,93.0,159.0,16536.0,90.75,69.25,4.0,363.0,92.0,105.67,3.0,276.0,139.3,96.95,43.0,5990.0,,,,
2007,29,153,29153,110.6,64.88,233,25769,104.5,58.5,2.0,209.0,,,,,,,,,113.25,65.21,198.0,22423.0,,,,,88.13,51.25,8.0,705.0,97.28,67.12,25.0,2432.0,,,,
2007,06,067,06067,253.97,111.65,118643,30131830,245.9,97.01,1756.0,431807.0,253.11,109.43,8817.0,2231677.0,274.64,120.16,12411.0,3408552.0,248.56,108.57,64336.0,15991316.0,266.97,112.68,3002.0,801456.0,233.93,117.12,4185.0,979010.0,260.52,116.28,24136.0,6288012.0,,,,
2007,40,091,40091,92.46,85.28,741,68510,72.58,58.36,67.0,4863.0,54.92,43.85,13.0,714.0,,,,,94.62,89.37,551.0,52138.0,111.0,34.5,2.0,222.0,70.11,98.0,9.0,631.0,100.42,86.04,99.0,9942.0,,,,
2007,25,015,25015,185.27,89.24,6597,1222247,167.92,89.32,25.0,4198.0,206.99,88.27,81.0,16766.0,223.35,99.03,129.0,28812.0,184.54,86.93,5092.0,939660.0,162.2,58.2,10.0,1622.0,196.45,102.83,276.0,54221.0,179.85,96.48,984.0,176968.0,,,,
2007,33,005,33005,156.92,81.2,4546,713359,113.38,50.38,16.0,1814.0,203.13,80.4,15.0,3047.0,215.45,97.15,20.0,4309.0,156.61,81.82,3573.0,559564.0,198.6,70.2,5.0,993.0,146.13,111.08,113.0,16513.0,158.11,74.52,804.0,127119.0,,,,
2007,48,167,48167,144.92,117.62,20461,2965247,124.53,102.11,154.0,19177.0,137.6,88.56,1712.0,235574.0,171.36,122.1,500.0,85679.0,143.82,118.79,14254.0,2049949.0,168.2,113.35,46.0,7737.0,148.77,127.9,734.0,109194.0,149.6,126.09,3061.0,457937.0,,,,
