year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2004,25,019,25019,647.96,412.88,1367,885755,398.0,79.0,2.0,796.0,510.82,247.12,17.0,8684.0,1715.0,1120.5,2.0,3430.0,635.23,401.45,1053.0,668893.0,,,,,993.94,974.19,36.0,35782.0,654.36,389.11,257.0,168170.0,,,,
2004,06,053,06053,336.01,126.15,39316,13210764,264.97,93.5,1445.0,382887.0,319.47,106.46,678.0,216603.0,342.41,133.15,2137.0,731737.0,355.13,136.3,22363.0,7941702.0,286.69,101.55,904.0,259169.0,286.58,97.74,1364.0,390901.0,315.37,114.6,10425.0,3287765.0,,,,
2004,51,049,51049,90.34,54.66,1086,98113,95.83,43.0,12.0,1150.0,76.07,55.98,303.0,23048.0,94.75,42.25,4.0,379.0,98.59,56.01,565.0,55706.0,148.0,36.0,1.0,148.0,108.0,58.88,16.0,1728.0,86.24,49.12,185.0,15954.0,,,,
2004,17,085,17085,117.69,93.86,1156,136051,103.33,76.33,6.0,620.0,81.0,83.83,6.0,486.0,82.67,117.0,3.0,248.0,118.19,92.96,933.0,110267.0,156.0,413.0,2.0,312.0,178.0,434.71,7.0,1246.0,114.93,83.38,199.0,22872.0,,,,
2004,29,207,29207,73.25,51.71,1196,87612,105.0,43.0,2.0,210.0,72.0,55.89,9.0,648.0,72.0,79.0,2.0,144.0,71.16,50.79,919.0,65395.0,46.0,46.0,1.0,46.0,83.5,53.0,6.0,501.0,80.42,54.71,257.0,20668.0,,,,
2004,47,073,47073,80.05,49.37,3640,291378,76.45,66.45,22.0,1682.0,79.23,61.2,66.0,5229.0,149.2,72.2,5.0,746.0,78.76,49.07,3024.0,238173.0,,,,,90.97,45.42,38.0,3457.0,86.79,48.91,485.0,42091.0,,,,
2004,22,051,22051,118.19,69.76,31813,3759882,110.99,87.71,196.0,21754.0,98.01,54.59,5565.0,545413.0,130.58,67.53,931.0,121574.0,127.09,75.05,17919.0,2277262.0,112.81,57.15,96.0,10830.0,121.41,85.83,330.0,40066.0,109.65,67.42,6776.0,742983.0,,,,
2004,54,027,54027,91.71,58.08,1217,111616,108.5,74.17,6.0,651.0,135.43,58.86,7.0,948.0,85.5,132.0,4.0,342.0,89.31,57.01,1037.0,92612.0,199.0,160.0,1.0,199.0,136.14,43.71,7.0,953.0,102.65,62.69,155.0,15911.0,,,,
2004,47,067,47067,65.6,39.48,255,16727,51.0,34.0,1.0,51.0,,,,,58.0,20.0,1.0,58.0,61.02,39.45,227.0,13852.0,,,,,,,,,106.38,40.69,26.0,2766.0,,,,
2004,21,213,21213,83.94,53.26,1162,97534,86.86,41.0,7.0,608.0,74.35,40.47,81.0,6022.0,172.0,70.5,4.0,688.0,84.18,55.2,895.0,75338.0,,,,,70.63,31.38,8.0,565.0,85.71,50.23,167.0,14313.0,,,,
2004,32,003,32003,191.78,96.06,306590,58798404,169.89,80.35,3259.0,553677.0,179.38,84.8,17501.0,3139242.0,208.41,103.02,29390.0,6125195.0,194.39,98.54,192494.0,37419003.0,181.95,84.14,5740.0,1044376.0,180.73,91.32,5895.0,1065378.0,180.68,89.64,52311.0,9451533.0,,,,
2004,12,009,12009,133.91,77.49,57274,7669389,120.5,69.54,335.0,40367.0,110.17,58.4,3496.0,385169.0,157.37,88.37,708.0,111418.0,136.99,79.38,41673.0,5708646.0,133.43,63.26,212.0,28287.0,148.08,82.93,853.0,126309.0,126.96,75.63,9997.0,1269193.0,,,,
2004,12,061,12061,157.38,98.39,13036,2051662,135.52,74.33,96.0,13010.0,104.87,56.77,513.0,53800.0,196.95,124.23,98.0,19301.0,161.7,101.08,10191.0,1647919.0,133.67,63.37,46.0,6149.0,237.57,140.98,191.0,45376.0,139.98,91.65,1901.0,266107.0,,,,
2004,17,091,17091,105.46,65.59,7591,800511,83.37,48.22,51.0,4252.0,73.15,51.92,873.0,63862.0,190.11,157.96,47.0,8935.0,111.24,66.82,5251.0,584135.0,70.81,49.5,16.0,1133.0,99.87,98.46,54.0,5393.0,102.23,66.0,1299.0,132801.0,,,,
2004,08,075,08075,94.4,56.82,1299,122627,108.88,65.75,16.0,1742.0,98.29,54.57,7.0,688.0,65.0,46.29,7.0,455.0,95.03,57.21,1037.0,98543.0,68.0,49.0,1.0,68.0,83.08,49.46,13.0,1080.0,91.98,55.23,218.0,20051.0,,,,
2004,37,NA ,37NA ,106.42,53.43,1868,198796,66.94,36.89,18.0,1205.0,93.65,42.11,271.0,25379.0,136.81,82.38,21.0,2873.0,100.59,51.36,985.0,99086.0,105.57,42.57,7.0,739.0,90.5,55.44,16.0,1448.0,123.76,62.23,550.0,68066.0,,,,
2004,51,125,51125,131.49,98.36,1864,245106,114.63,58.5,8.0,917.0,80.89,63.54,225.0,18200.0,110.33,126.83,12.0,1324.0,141.6,105.57,1271.0,179977.0,204.0,133.0,1.0,204.0,150.84,126.97,38.0,5732.0,125.41,90.34,309.0,38752.0,,,,
2004,12,023,12023,93.91,60.18,2538,238333,98.74,59.7,23.0,2271.0,79.3,44.82,251.0,19904.0,112.35,85.4,20.0,2247.0,93.85,61.87,1727.0,162086.0,75.67,56.67,3.0,227.0,89.48,115.59,27.0,2416.0,100.99,58.03,487.0,49182.0,,,,
2004,51,141,51141,82.68,50.06,917,75813,74.0,73.0,1.0,74.0,63.5,33.92,62.0,3937.0,52.0,24.67,3.0,156.0,79.92,50.49,693.0,55386.0,52.5,40.0,2.0,105.0,81.5,33.5,6.0,489.0,104.44,55.94,150.0,15666.0,,,,
2004,40,107,40107,61.45,47.85,301,18496,47.77,32.68,31.0,1481.0,54.38,46.14,37.0,2012.0,,,,,65.13,51.37,200.0,13026.0,,,,,69.67,63.0,3.0,209.0,58.93,40.67,30.0,1768.0,,,,
2004,26,035,26035,84.97,53.95,2542,215988,70.92,54.44,25.0,1773.0,100.64,55.64,14.0,1409.0,106.0,41.25,4.0,424.0,85.05,53.97,2070.0,176062.0,178.5,76.0,4.0,714.0,77.89,74.11,18.0,1402.0,84.04,52.79,407.0,34204.0,,,,
2004,28,033,28033,121.67,70.77,12479,1518359,123.27,74.81,48.0,5917.0,128.26,58.83,1748.0,224200.0,133.01,94.03,94.0,12503.0,121.56,72.89,8588.0,1043977.0,101.26,58.65,23.0,2329.0,113.83,76.79,126.0,14343.0,116.14,70.65,1852.0,215090.0,,,,
2004,37,193,37193,98.69,55.21,3461,341557,99.64,49.09,11.0,1096.0,75.3,38.01,102.0,7681.0,92.8,77.1,10.0,928.0,98.68,55.22,2842.0,280459.0,111.0,70.57,7.0,777.0,91.13,46.63,30.0,2734.0,104.32,59.03,459.0,47882.0,,,,
