year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,72,051,149.2,104.7,1020,152189,72051,1.78127984718,,,,,
2001,72,051,174.82,109.14,1504,262924,72051,2.00224482316,17.1715817694,4.24068767908,47.4509803922,0.727615005027,12.4048434237
2002,72,051,175.4,107.19,1787,313434,72051,2.04543334266,0.331769820387,-1.78669598681,18.8164893617,0.192108746254,2.15700492767
2003,72,051,185.0,104.47,2574,476192,72051,2.21355413037,5.4732041049,-2.5375501446,44.0402909905,0.519273595079,8.2193237102
2004,72,051,206.39,108.46,2218,457769,72051,2.37864189563,11.5621621622,3.8192782617,-13.8306138306,-0.0386881761978,7.45804057792
2005,72,051,234.49,115.16,2323,544716,72051,2.54526311219,13.6150007268,6.17739258713,4.73399458972,0.189936408975,7.00488866643
2006,72,051,238.25,119.39,1896,451723,72051,2.49445095904,1.60347989253,3.67315039944,-18.3814033577,-0.170718319271,-1.99634186763
2007,72,051,268.4,156.83,1359,364749,72051,2.13925907033,12.6547743966,31.3594103359,-28.3227848101,-0.192538347616,-14.2392812905
2008,72,051,281.85,135.81,4056,1143200,72051,2.59415727855,5.01117734724,-13.4030478862,198.454746137,2.13421010064,21.264287927
2009,72,051,249.77,155.19,887,221542,72051,2.01180810619,-11.3819407486,14.2699359399,-78.1311637081,-0.806208887334,-22.448491353
2010,72,051,310.11,165.4,621,192581,72051,2.34363663845,24.1582255675,6.57903215413,-29.9887260428,-0.130724648148,16.4940448962
2011,72,051,277.27,151.99,613,169969,72051,2.28033094283,-10.5897907194,-8.10761789601,-1.28824476651,-0.11741552905,-2.70117366269
2012,72,051,2.98,164.23,637,1900,72051,0.0226816050661,-98.9252353302,8.0531613922,3.91517128874,-0.988821490978,-99.0053371359
2013,72,051,292.69,175.93,648,189665,72051,2.07959131473,9721.81208054,7.12415514827,1.72684458399,98.8236842105,9068.62500987
2014,72,051,288.82,176.33,584,168671,72051,2.0474394601,-1.3222180464,0.227363155801,-9.87654320988,-0.110689900614,-1.54606601771
