year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,30,015,61.11,43.95,108,6600,30015,1.73805460751,,,,,
2001,30,015,60.11,47.18,137,8235,30015,1.59257100466,-1.63639338897,7.34926052332,26.8518518519,0.247727272727,-8.37048515145
2002,30,015,72.32,56.94,121,8751,30015,1.58763610818,20.3127599401,20.686731666,-11.6788321168,0.0626593806922,-0.309869793214
2003,30,015,78.35,56.36,209,16375,30015,1.73771291696,8.33794247788,-1.01861608711,72.7272727273,0.871214718318,9.45284678301
2004,30,015,80.99,50.93,115,9314,30015,1.98777734145,3.36949585195,-9.63449254791,-44.976076555,-0.43120610687,14.3904336583
2005,30,015,81.59,60.28,127,10362,30015,1.69189615129,0.740832201506,18.3585313175,10.4347826087,0.11251878892,-14.8850268079
2006,30,015,77.7,67.0,122,9480,30015,1.44962686567,-4.76774114475,11.1479761115,-3.93700787402,-0.0851187029531,-14.3193945702
2007,30,015,109.56,80.96,102,11175,30015,1.69157608696,41.0038610039,20.8358208955,-16.393442623,0.178797468354,16.6904482122
2008,30,015,101.25,54.29,308,31184,30015,2.33123042918,-7.58488499452,-32.9421936759,201.960784314,1.79051454139,37.8141040863
2009,30,015,138.8,74.72,74,10271,30015,2.32200214133,37.0864197531,37.631239639,-75.974025974,-0.670632375577,-0.3958548127
2010,30,015,138.38,78.72,85,11762,30015,2.19734502033,-0.302593659942,5.35331905782,14.8648648649,0.145166001363,-5.36851877885
2011,30,015,108.9,85.16,86,9365,30015,1.59846171912,-21.3036565978,8.18089430894,1.17647058824,-0.203791872131,-27.2548596451
2012,30,015,2.96,72.76,98,290,30015,0.0508521165476,-97.2819100092,-14.5608266792,13.9534883721,-0.969033635878,-96.8186841174
2013,30,015,114.63,65.44,78,8941,30015,2.18960116137,3772.63513514,-10.0604727872,-20.4081632653,29.8310344828,4205.82109463
2014,30,015,101.33,94.67,43,4357,30015,1.33793704447,-11.6025473262,44.6668704156,-44.8717948718,-0.512694329493,-38.8958561004
