asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,,,,,,,,,59.0,,15.0,075,20075,7.0,2.0,29.0,28.5,31.29,44.0,219.0,88.0,42.15,,39.13,,1.55604982206,52.47,52.8,,,,,,,,,,20,3096.0,,792.0,23.0,7.0,39.65,41.86,64.52,61.29,1484.0,429.0,2000.0
2.0,1.0,228.0,228.0,285.5,286.0,571.0,286.0,,,,,,,,,55.0,-6.77966101695,14.0,075,20075,,,,,,,,,55.16,30.8659549229,63.0,-14.4983811323,1.33044778825,58.71,70.93,11.8925100057,,,,,,,,,20,3229.0,0.0429586563307,993.0,18.0,8.0,46.56,55.63,57.83,58.5,1041.0,468.0,2001.0
,,,,,,,,,,,,,,,,51.0,-7.27272727273,16.0,075,20075,,,,,,,,,47.55,-13.7962291516,53.31,30.6455136647,1.738170347,66.12,67.19,12.6213592233,,,,,,,,,20,3372.0,0.0442861567049,1075.0,24.0,12.0,53.21,59.25,71.5,74.92,1716.0,899.0,2002.0
,,,,,,,,,,,,,,,,68.0,33.3333333333,19.0,075,20075,1.0,,24.0,,29.0,,29.0,,60.37,26.9610935857,71.37,0.408979772949,1.74527911214,84.29,90.21,27.480338778,,,,,,,,,20,5732.0,0.699881376038,1714.0,56.0,19.0,58.93,71.37,86.55,90.21,4847.0,1714.0,2003.0
,,,,,,,,,,,,,,,,61.0,-10.2941176471,14.0,075,20075,,,,,,,,,48.62,-19.4633095909,50.0,-4.08691439063,1.67395104895,65.11,60.93,-22.7547751809,,,,,,,,,20,3972.0,-0.307048150733,853.0,45.0,12.0,48.67,41.92,63.98,59.33,2879.0,712.0,2004.0
,,,,,,,,,,,,,,,,52.0,-14.7540983607,10.0,075,20075,,,,,,,,,53.44,9.91361579597,60.0,10.7388682166,1.85371444611,79.25,78.7,21.7170941484,,,,,,,,,20,4121.0,0.0375125881168,787.0,46.0,10.0,54.3,60.0,80.98,78.7,3725.0,787.0,2005.0
,,,,,,,,,,,,,,,,60.0,15.3846153846,17.0,075,20075,,,,,,,,,58.7,9.84281437126,75.0,-2.35545117934,1.81005110733,85.0,105.41,7.25552050473,,,,,,,,,20,5100.0,0.237563698132,1792.0,49.0,14.0,57.94,75.93,89.88,107.5,4404.0,1505.0,2006.0
,,,,,,,,,,,,,,,,46.0,-23.3333333333,20.0,075,20075,,,,,,,,,85.2,45.1448040886,132.85,-16.51339409,1.51115023474,103.0,142.65,21.1764705882,1.0,,60.0,,45.0,,45.0,,20,4738.0,-0.0709803921569,2853.0,36.0,18.0,95.0,143.44,111.42,155.17,4011.0,2793.0,2007.0
,,,,,,,,,,,,,,,,52.0,13.0434782609,12.0,075,20075,,,,,,,,,62.69,-26.4201877934,75.67,6.4691570635,1.60890891689,80.69,114.0,-21.6601941748,,,,,,,,,20,4196.0,-0.114394259181,1368.0,40.0,12.0,55.1,75.67,84.3,114.0,3372.0,1368.0,2008.0
,,,,,,,,,,,,,,,,15.0,-71.1538461538,7.0,075,20075,,,,,,,,,76.53,22.0768862658,91.0,-25.4851380902,1.19887625768,73.4,53.29,-9.03457677531,,,,,,,,,20,1101.0,-0.737607244995,373.0,15.0,7.0,76.53,91.0,73.4,53.29,1101.0,373.0,2009.0
