year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,55,131,114.08,70.41,5067,578046,55131,2.02528049993,,,,,
2001,55,131,131.12,76.0,11428,1498436,55131,2.15657894737,14.9368863955,7.93921317995,125.537793566,1.59224352387,6.48297593563
2002,55,131,137.56,77.86,14474,1991100,55131,2.20845106602,4.9115314216,2.44736842105,26.6538326916,0.328785480327,2.40529653277
2003,55,131,145.9,79.48,18699,2728150,55131,2.2946024157,6.06280895609,2.08065759055,29.1902722122,0.370172266586,3.90098522045
2004,55,131,159.2,79.95,10876,1731492,55131,2.48905565979,9.11583276217,0.591343734273,-41.8364618429,-0.365323754192,8.47437633442
2005,55,131,165.57,80.53,11304,1871659,55131,2.57000496709,4.00125628141,0.72545340838,3.93527031997,0.0809515724011,3.25220960758
2006,55,131,163.05,91.07,10216,1665715,55131,2.23797628198,-1.52201485776,13.0882900782,-9.62491153574,-0.110032863892,-12.9193791204
2007,55,131,177.56,89.13,9828,1745073,55131,2.49018287894,8.89911070224,-2.1302294938,-3.79796397807,0.047642003584,11.2694043717
2008,55,131,193.66,93.27,26956,5220276,55131,2.59542189343,9.06735751295,4.64490070683,174.277574278,1.99143703444,4.22615605371
2009,55,131,185.67,95.7,10491,1947865,55131,2.42515673981,-4.12578746256,2.60533933741,-61.081020923,-0.62686551439,-6.5602110411
2010,55,131,186.35,97.61,9746,1816207,55131,2.38641020387,0.366241180589,1.99582027168,-7.10132494519,-0.0675909264759,-1.59769202969
2011,55,131,179.69,98.79,6855,1231742,55131,2.27363599555,-3.57392004293,1.2088925315,-29.6634516725,-0.321805278804,-4.7256841319
2012,55,131,2.91,101.89,9769,28384,55131,0.0357002649917,-98.3805442707,3.1379694301,42.5091174325,-0.976956213233,-98.4298161596
2013,55,131,175.48,95.73,6869,1205367,55131,2.29134022772,5930.24054983,-6.04573559721,-29.685740608,41.4664247463,6318.27232448
2014,55,131,179.16,95.44,4114,737051,55131,2.34650041911,2.0971050832,-0.302935338974,-40.1077303829,-0.388525652353,2.40733308482
