asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
2.0,1.0,70.0,62.0,180.5,195.0,361.0,195.0,8.0,1.0,36.13,80.0,53.13,36.0,425.0,36.0,600.0,,249.0,007,47007,3.0,,49.67,,61.67,,185.0,,40.82,,49.1,,1.6652376286134247,54.38,58.06,,5.0,2.0,32.2,40.5,27.0,30.0,135.0,60.0,47,32629.0,,14456.0,425.0,219.0,42.77,48.99,55.66,58.19,23657.0,12744.0,2000.0
2.0,2.0,39.5,39.5,28.5,28.5,57.0,57.0,,,,,,,,,645.0,7.499999999999996,310.0,007,47007,2.0,,36.0,,46.5,,93.0,,42.9,5.095541401273884,47.83,4.950126494812035,1.7476689976689976,59.98,59.17,10.297903641044481,3.0,1.0,30.33,13.0,71.0,38.0,213.0,38.0,47,38690.0,0.1857550032179962,18343.0,446.0,271.0,44.76,47.15,60.13,57.3,26820.0,15528.0,2001.0
,,,,,,,,4.0,2.0,50.5,68.0,118.25,208.0,473.0,416.0,576.0,-10.697674418604652,298.0,007,47007,1.0,1.0,71.0,71.0,40.0,40.0,40.0,40.0,49.32,14.965034965034963,52.24,-1.3719293292411283,1.7236922141119222,68.01,68.91,13.387795931977342,4.0,3.0,39.0,48.67,71.0,81.33,284.0,244.0,47,39173.0,0.012483845955027162,20535.0,412.0,252.0,49.27,51.68,66.12,64.98,27243.0,16374.0,2002.0
2.0,1.0,25.5,23.0,38.5,45.0,77.0,45.0,3.0,1.0,22.0,46.0,65.67,60.0,197.0,60.0,683.0,18.576388888888886,302.0,007,47007,4.0,2.0,23.75,23.5,56.25,70.5,225.0,141.0,49.44,0.24330900243307862,53.18,7.502002132753183,1.853003640776699,73.29,65.73,7.763564181737981,1.0,,33.0,,110.0,,110.0,,47,50060.0,0.27792101702703387,19851.0,551.0,273.0,49.7,53.84,72.58,66.07,39992.0,18037.0,2003.0
,,,,,,,,10.0,4.0,38.6,33.75,88.1,59.75,881.0,239.0,679.0,-0.5856515373352855,302.0,007,47007,,,,,,,,,51.32,3.802588996763756,57.34,-0.03538192216679947,1.8523480124707714,76.05,70.69,3.7658616455177985,7.0,1.0,47.86,144.0,52.43,67.0,367.0,67.0,47,51640.0,0.03156212544946069,21349.0,582.0,288.0,52.07,57.35,74.19,69.2,43179.0,19931.0,2004.0
3.0,1.0,116.0,138.0,116.33,98.0,349.0,98.0,8.0,2.0,50.5,56.5,87.38,65.5,699.0,131.0,771.0,13.549337260677463,325.0,007,47007,1.0,,59.0,,152.0,,152.0,,51.03,-0.5650818394388191,55.43,10.975557686542171,2.055653537135018,83.92,73.95,10.348454963839583,3.0,,58.0,,75.0,,225.0,,47,64701.0,0.2529240898528273,24034.0,651.0,294.0,50.8,55.04,79.29,70.98,51621.0,20867.0,2005.0
,,,,,,,,7.0,2.0,26.57,31.5,34.57,48.5,242.0,97.0,760.0,-1.4267185473411104,330.0,007,47007,1.0,,167.0,,247.0,,247.0,,56.28,10.288065843621407,58.66,-4.120573253845161,1.9709488272921105,88.74,79.88,5.743565300285969,6.0,2.0,58.5,27.5,68.33,23.0,410.0,46.0,47,67439.0,0.04231773852027021,26359.0,621.0,305.0,55.81,58.43,85.77,77.49,53261.0,23635.0,2006.0
1.0,,78.0,,400.0,,400.0,,,,,,,,,,584.0,-23.15789473684211,292.0,007,47007,3.0,,64.67,,301.67,,905.0,,60.08,6.751954513148539,68.92,7.366400805236917,2.1161368175765642,101.71,88.67,14.615731350011263,,,,,,,,,47,59398.0,-0.11923367784219818,25893.0,510.0,274.0,60.19,67.9,99.09,88.44,50535.0,24232.0,2007.0
,,,,,,,,4.0,4.0,42.0,42.0,5.0,5.0,20.0,20.0,1952.0,234.24657534246575,1180.0,007,47007,,,,,,,,,66.32,10.386151797603183,74.02,-12.873672029762695,1.8437123039806997,97.82,94.09,-3.8245993510962584,8.0,,22.0,,103.0,,824.0,,47,190940.0,2.2145863497087444,111028.0,1852.0,1160.0,67.09,74.06,97.89,93.59,181296.0,108564.0,2008.0
,,,,,,,,2.0,,38.5,,58.5,,117.0,,451.0,-76.89549180327869,257.0,007,47007,1.0,,24.0,,42.0,,42.0,,71.96,8.50422195416165,86.69,-1.6099950573417732,1.8140286270150083,104.43,104.33,6.757309343692519,5.0,1.0,84.4,164.0,115.4,135.0,577.0,135.0,47,47100.0,-0.7533256520372892,26813.0,412.0,252.0,72.68,86.94,102.8,103.56,42352.0,26096.0,2009.0
,,,,,,,,1.0,,16.0,,18.0,,18.0,,338.0,-25.05543237250555,204.0,007,47007,,,,,,,,,72.67,0.9866592551417641,83.08,-6.59998478573015,1.6943030136232282,98.5,90.53,-5.67844489131476,1.0,1.0,40.0,40.0,50.0,50.0,50.0,50.0,47,33294.0,-0.29312101910828026,18468.0,320.0,200.0,73.39,83.6,96.53,89.96,30891.0,17991.0,2010.0
,,,,,,,,3.0,,28.0,,64.67,,194.0,,388.0,14.792899408284033,235.0,007,47007,,,,,,,,,70.46,-3.0411449016100267,80.26,6.026448386311278,1.7964093102469487,101.26,102.14,2.8020304568527887,1.0,1.0,152.0,152.0,41.0,41.0,41.0,41.0,47,39290.0,0.18009250916080966,24004.0,360.0,227.0,71.58,80.85,101.01,102.52,36365.0,23271.0,2011.0
