asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
3.0,3.0,44.33,44.33,30.0,30.0,90.0,90.0,121.0,41.0,29.48,29.15,40.56,35.9,4908.0,1472.0,1035.0,,399.0,305,13305,9.0,5.0,46.44,52.6,60.33,57.4,543.0,287.0,41.21,,45.95,,1.56576073769,51.62,58.37,,9.0,5.0,31.33,37.2,42.0,45.4,378.0,227.0,13,53425.0,,23288.0,547.0,277.0,45.25,50.22,56.77,64.13,31054.0,17763.0,2000.0
,,,,,,,,41.0,14.0,40.12,42.43,55.0,58.07,2255.0,813.0,1254.0,21.1594202899,502.0,305,13305,6.0,3.0,119.5,62.67,39.17,59.33,235.0,178.0,49.65,20.4804659063,56.37,4.54718090563,1.63695871098,65.02,77.67,25.958930647,,,,,,,,,13,81535.0,0.526158165653,38990.0,602.0,325.0,54.75,60.88,75.44,84.18,45417.0,27358.0,2001.0
2.0,2.0,30.5,30.5,55.0,55.0,110.0,110.0,56.0,16.0,39.43,47.44,60.64,64.13,3396.0,1026.0,1274.0,1.59489633174,567.0,305,13305,11.0,6.0,42.82,43.83,53.64,47.5,590.0,285.0,60.57,21.9939577039,73.4,-3.27843652024,1.58329205877,76.72,83.89,17.9944632421,6.0,2.0,53.67,51.5,72.0,76.5,432.0,153.0,13,97747.0,0.198834856197,47568.0,726.0,425.0,66.47,72.56,82.5,86.1,59896.0,36591.0,2002.0
6.0,3.0,94.17,118.67,79.0,75.67,474.0,227.0,88.0,38.0,46.7,50.84,63.59,65.18,5596.0,2477.0,1475.0,15.7770800628,737.0,305,13305,19.0,9.0,37.79,41.56,42.89,50.22,815.0,452.0,64.67,6.7690275714,67.15,4.50086449969,1.65455388897,85.6,88.03,11.57455683,1.0,,23.0,,76.0,,76.0,,13,126266.0,0.29176343008,64881.0,1159.0,621.0,67.58,69.37,87.51,89.66,101422.0,55681.0,2003.0
8.0,3.0,68.0,70.67,127.75,118.67,1022.0,356.0,117.0,39.0,47.22,44.13,68.96,67.44,8068.0,2630.0,1287.0,-12.7457627119,556.0,305,13305,,,,,,,,,62.79,-2.90706664605,67.69,12.2828282377,1.85777990126,93.32,99.96,9.01869158879,7.0,1.0,37.0,48.0,66.86,104.0,468.0,104.0,13,120101.0,-0.0488254953828,55577.0,941.0,475.0,65.28,70.23,96.43,103.08,90741.0,48961.0,2004.0
8.0,5.0,61.88,48.6,79.0,74.6,632.0,373.0,132.0,38.0,48.92,51.92,78.27,84.45,10331.0,3209.0,1347.0,4.662004662,546.0,305,13305,4.0,1.0,33.0,41.0,75.75,52.0,303.0,52.0,63.3,0.812231247014,67.02,-4.28152735428,1.7782385466,90.05,92.08,-3.50407201029,7.0,2.0,34.14,30.0,54.71,44.5,383.0,89.0,13,121298.0,0.00996661143538,50277.0,982.0,465.0,62.44,68.77,91.16,93.24,89516.0,43355.0,2005.0
4.0,2.0,69.75,67.5,108.5,89.0,434.0,178.0,161.0,55.0,59.45,60.09,85.47,80.42,13760.0,4423.0,1400.0,3.93466963623,566.0,305,13305,,,,,,,,,66.87,5.63981042654,71.86,3.77525670525,1.84537161657,98.72,92.43,9.62798445308,6.0,2.0,55.83,87.0,82.33,80.0,494.0,160.0,13,138207.0,0.139400484757,52315.0,995.0,471.0,69.53,73.59,100.41,92.85,99911.0,43730.0,2006.0
6.0,2.0,65.0,60.0,136.33,37.0,818.0,74.0,117.0,35.0,53.32,54.77,92.26,96.54,10794.0,3379.0,1197.0,-14.5,448.0,305,13305,1.0,,30.0,,53.0,,53.0,,68.71,2.75160759683,69.24,3.50329214676,1.91002037549,104.99,103.26,6.35129659643,7.0,4.0,25.43,24.0,80.57,50.25,564.0,201.0,13,125670.0,-0.0907117584493,46260.0,857.0,373.0,69.91,71.55,106.74,104.24,91480.0,38882.0,2007.0
,,,,,,,,164.0,48.0,56.12,58.75,89.29,70.58,14644.0,3388.0,2836.0,136.925647452,1048.0,305,13305,,,,,,,,,81.01,17.9013244069,97.61,-3.49364983814,1.84329095173,119.46,109.95,13.7822649776,16.0,8.0,65.5,42.5,165.5,135.0,2648.0,1080.0,13,338792.0,1.69588605077,115228.0,2420.0,948.0,83.97,101.49,121.07,112.4,292988.0,106552.0,2008.0
5.0,3.0,95.4,135.33,133.6,172.0,668.0,516.0,45.0,17.0,50.24,42.18,83.58,60.18,3761.0,1023.0,784.0,-72.3554301834,413.0,305,13305,2.0,1.0,50.5,48.0,91.5,23.0,183.0,23.0,73.96,-8.70262930502,78.28,2.98555506268,1.89832341806,112.32,106.19,-5.97689603214,8.0,2.0,106.75,72.5,153.63,145.5,1229.0,291.0,13,88059.0,-0.740079458783,43856.0,662.0,374.0,74.48,78.25,113.21,106.55,74943.0,39851.0,2009.0
5.0,3.0,64.2,58.33,147.0,121.0,735.0,363.0,29.0,17.0,64.24,71.71,81.21,80.82,2355.0,1374.0,715.0,-8.80102040816,389.0,305,13305,2.0,1.0,52.5,80.0,72.0,66.0,144.0,66.0,74.27,0.419145484045,77.18,-8.60068867845,1.73505453077,103.09,96.7,-8.21759259259,2.0,,27.0,,90.0,,180.0,,13,73706.0,-0.162992993334,37615.0,625.0,344.0,75.23,77.75,102.14,96.47,63838.0,33184.0,2010.0
10.0,7.0,52.1,57.29,117.9,116.43,1179.0,815.0,31.0,12.0,47.84,63.92,59.94,57.25,1858.0,687.0,647.0,-9.51048951049,388.0,305,13305,2.0,1.0,104.5,140.0,80.0,60.0,160.0,60.0,73.61,-0.888649522014,80.79,-5.94466075037,1.63191142508,96.1,95.55,-6.78048307304,1.0,,37.0,,60.0,,60.0,,13,62177.0,-0.156418744743,37075.0,571.0,361.0,74.57,81.58,95.55,95.53,54558.0,34486.0,2011.0
7.0,4.0,45.0,42.25,119.86,117.75,839.0,471.0,39.0,13.0,48.28,52.62,67.13,60.92,2618.0,792.0,678.0,4.7913446677,377.0,305,13305,1.0,,107.0,,31.0,,31.0,,74.09,0.652085314495,74.24,0.520379845701,1.64040356323,97.23,93.18,1.17585848075,3.0,2.0,72.67,77.0,139.0,120.0,417.0,240.0,13,65925.0,0.060279524583,35129.0,586.0,353.0,76.31,75.0,97.77,92.67,57294.0,32713.0,2012.0
8.0,5.0,52.13,43.0,135.5,124.0,1084.0,620.0,36.0,10.0,46.58,61.3,80.17,70.5,2886.0,705.0,716.0,5.60471976401,393.0,305,13305,,,,,,,,,76.69,3.50924551221,75.25,2.46215259842,1.68079280219,103.12,102.21,6.0578010902,5.0,1.0,74.4,90.0,116.6,128.0,583.0,128.0,13,73831.0,0.119924156238,40169.0,620.0,366.0,79.27,76.31,104.17,102.85,64587.0,37643.0,2013.0
3.0,2.0,77.67,109.5,182.0,252.0,546.0,504.0,36.0,11.0,50.92,53.82,70.25,70.0,2529.0,770.0,448.0,-37.4301675978,231.0,305,13305,2.0,,31.5,,45.5,,91.0,,71.5,-6.76750554179,83.04,-3.91231073039,1.61503496503,92.38,94.12,-10.4150504267,2.0,1.0,59.5,94.0,94.0,166.0,188.0,166.0,13,41388.0,-0.439422464818,21741.0,372.0,207.0,73.54,84.12,94.09,93.58,35002.0,19371.0,2014.0
