year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,12,071,111.06,90.3,27548,3059579,12071,1.53737541528,,,,,
2001,12,071,123.69,97.37,41410,5122079,12071,1.58788641265,11.3722312264,7.82945736434,50.3194424278,0.674112353366,3.28553435083
2002,12,071,139.61,98.84,51974,7255992,12071,1.76560602995,12.8708868947,1.50970524802,25.5107461966,0.416610716078,11.1922122312
2003,12,071,147.64,99.45,74203,10955239,12071,1.85570638512,5.75173698159,0.617159044921,42.7694616539,0.509819608401,5.10308379347
2004,12,071,161.86,105.31,74286,12023624,12071,1.92123255151,9.63153616906,5.89240824535,0.111855315823,0.0975227468794,3.53106326097
2005,12,071,193.42,118.39,106513,20601407,12071,2.04219106343,19.4983318918,12.4204728896,43.3823331449,0.713410781974,6.29588083048
2006,12,071,214.26,132.87,107313,22992713,12071,2.0156920298,10.7744804053,12.2307627333,0.751082027546,0.116074887506,-1.29757857163
2007,12,071,229.47,140.29,69621,15975808,12071,2.0446040345,7.09885186222,5.58440581019,-35.1234240027,-0.305179514918,1.43434633212
2008,12,071,211.41,138.52,103184,21813780,12071,1.9077570026,-7.87030984442,-1.26167225034,48.2081555852,0.36542577377,-6.69308235687
2009,12,071,192.51,144.86,21131,4067874,12071,1.66117285655,-8.93997445722,4.57695639619,-79.5210497752,-0.813518152287,-12.9253435166
2010,12,071,188.13,140.54,17552,3302053,12071,1.6732780703,-2.27520648278,-2.9821897004,-16.9372012683,-0.188260747506,0.728714877647
2011,12,071,190.25,150.94,16959,3226504,12071,1.57554326222,1.1268803487,7.40002846165,-3.37853236098,-0.022879402602,-5.8409184828
2012,12,071,2.88,134.47,27456,78957,12071,0.0267717706552,-98.4862023653,-10.9116205115,61.8963382275,-0.975528621691,-98.3007911432
2013,12,071,188.03,132.42,27313,5135750,12071,1.77493958617,6428.81944444,-1.52450360675,-0.520833333333,64.0448978558,6529.8923931
2014,12,071,196.0,132.28,19054,3734618,12071,1.85213184155,4.23868531617,-0.105724210844,-30.2383480394,-0.272819354525,4.34900748086
