year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,48,401,50.66,47.45,1208,61192,48401,1.33456269758,,,,,
2001,48,401,62.03,53.73,1415,87775,48401,1.44309510516,22.4437425977,13.2349841939,17.1357615894,0.434419531965,8.13243227734
2002,48,401,62.61,61.37,1254,78510,48401,1.27525664005,0.935031436402,14.21924437,-11.3780918728,-0.105553973227,-11.6304507238
2003,48,401,68.87,62.04,1687,116176,48401,1.38761283043,9.99840281105,1.09173863451,34.5295055821,0.479760540059,8.81047679746
2004,48,401,70.94,61.46,1956,138767,48401,1.44280833062,3.00566284304,-0.934880722115,15.9454653231,0.194454964881,3.97773060173
2005,48,401,75.12,64.25,1950,146491,48401,1.46147859922,5.89230335495,4.53953791084,-0.306748466258,0.0556616486629,1.29402278903
2006,48,401,81.38,67.21,1848,150394,48401,1.51353965184,8.33333333333,4.60700389105,-5.23076923077,0.0266432750135,3.56221792392
2007,48,401,91.83,73.28,1562,143437,48401,1.56642330786,12.8409928729,9.03139413778,-15.4761904762,-0.0462584943548,3.49403835959
2008,48,401,98.76,82.21,4340,428632,48401,1.50164213599,7.54655341392,12.1861353712,177.848911652,1.98829451257,-4.13561082384
2009,48,401,103.15,79.94,998,102939,48401,1.61292844633,4.44511948157,-2.76122126262,-77.0046082949,-0.759842942198,7.41097413785
2010,48,401,106.44,84.07,928,98775,48401,1.58260972999,3.18952981095,5.16637478109,-7.01402805611,-0.040451140967,-1.87973102072
2011,48,401,105.74,83.39,1003,106060,48401,1.58502218491,-0.657647500939,-0.80884976805,8.08189655172,0.0737534801316,0.15243523919
2012,48,401,2.84,83.78,993,2823,48401,0.0423728813559,-97.3141668243,0.467681976256,-0.997008973081,-0.97338299076,-97.3266695092
2013,48,401,111.17,83.18,1062,118064,48401,1.67062394806,3814.43661972,-0.71616137503,6.94864048338,40.8221749911,3842.67251743
2014,48,401,112.17,85.24,935,104875,48401,1.64491435946,0.899523252676,2.47655686463,-11.9585687382,-0.111710597642,-1.53892134963
