asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
11.0,7.0,49.82,45.71,62.27,75.43,685.0,528.0,63.0,21.0,44.3,49.62,62.76,48.38,3954.0,1016.0,3709.0,,1485.0,117,36117,23.0,7.0,38.91,45.86,48.96,82.0,1126.0,574.0,49.8,,57.59,,1.537901606425703,61.27,68.62,,9.0,6.0,37.11,27.67,54.67,36.33,492.0,218.0,36,227266.0,,101908.0,2490.0,1219.0,51.29,58.75,64.28,70.79,160059.0,86289.0,2000.0
11.0,6.0,81.45,70.0,96.45,104.5,1061.0,627.0,46.0,14.0,47.91,51.64,67.09,69.86,3086.0,978.0,4774.0,28.713939067134,2085.0,117,36117,38.0,19.0,55.5,65.89,70.37,84.0,2674.0,1596.0,56.79,14.036144578313259,62.57,4.780387589299928,1.6114192639549214,73.21,78.32,19.487514281051066,14.0,5.0,40.0,35.2,53.79,57.6,753.0,288.0,36,349527.0,0.5379643237439828,163300.0,2815.0,1683.0,58.38,63.05,75.49,79.01,212518.0,132977.0,2001.0
22.0,17.0,58.91,65.71,104.32,106.35,2295.0,1808.0,39.0,14.0,46.15,44.86,78.72,86.07,3070.0,1205.0,5354.0,12.149141181399248,2563.0,117,36117,46.0,22.0,47.93,53.68,74.83,89.64,3442.0,1972.0,60.26,6.1102306744145185,65.68,3.6516215554207587,1.670262197145702,80.52,84.59,9.984974730228124,9.0,3.0,46.33,30.67,71.0,49.0,639.0,147.0,36,431091.0,0.23335536310499627,216813.0,3199.0,2108.0,63.35,65.89,82.8,85.03,264888.0,179248.0,2002.0
26.0,13.0,60.0,60.0,98.23,90.85,2554.0,1181.0,60.0,20.0,47.68,59.75,86.93,78.75,5216.0,1575.0,6743.0,25.943220022413136,3364.0,117,36117,52.0,24.0,51.33,55.75,80.21,84.71,4171.0,2033.0,67.39,11.832061068702293,76.82,-5.849351230652633,1.572562694761834,84.78,86.67,5.290611028315961,12.0,5.0,67.25,62.4,92.33,81.8,1108.0,409.0,36,571695.0,0.3261585140956318,291562.0,5383.0,2996.0,64.24,68.97,84.61,85.95,455464.0,257518.0,2003.0
22.0,12.0,72.77,62.83,105.05,113.17,2311.0,1358.0,119.0,34.0,55.95,62.29,78.86,78.06,9384.0,2654.0,5712.0,-15.289930298086906,2219.0,117,36117,4.0,1.0,67.25,40.0,87.5,81.0,350.0,81.0,60.38,-10.402136815551266,64.61,14.018933402909184,1.7930192116594896,86.61,88.05,2.158527954706302,32.0,4.0,63.06,56.0,90.88,99.0,2908.0,396.0,36,494706.0,-0.13466796106315426,195378.0,4442.0,1950.0,59.29,63.48,85.47,86.48,379654.0,168640.0,2004.0
11.0,4.0,54.55,77.5,91.0,113.25,1001.0,453.0,98.0,25.0,53.62,56.4,82.74,87.96,8109.0,2199.0,5327.0,-6.740196078431371,1966.0,117,36117,3.0,1.0,25.67,36.0,114.67,137.0,344.0,137.0,64.26,6.425968863862219,68.72,-3.1630212284531334,1.7363056333644569,89.26,89.96,3.0596928761113196,12.0,4.0,44.67,52.0,50.5,39.75,606.0,159.0,36,475504.0,-0.03881497293341907,176864.0,4176.0,1769.0,62.71,67.98,87.62,89.03,365894.0,157497.0,2005.0
18.0,7.0,67.44,72.71,107.56,93.57,1936.0,655.0,67.0,20.0,60.09,59.55,80.61,74.25,5401.0,1485.0,4923.0,-7.58400600713347,1842.0,117,36117,3.0,2.0,52.67,53.0,58.0,36.5,174.0,73.0,66.62,3.67258014316838,70.89,-4.5258579952863975,1.6577229060342236,88.35,85.57,-1.0194936141608935,16.0,5.0,83.13,51.2,95.56,120.4,1529.0,602.0,36,434967.0,-0.08525059726101147,157627.0,3881.0,1646.0,65.72,70.98,86.95,85.26,337450.0,140345.0,2006.0
12.0,6.0,54.17,55.17,96.17,97.33,1154.0,584.0,59.0,17.0,52.64,60.47,79.81,77.76,4709.0,1322.0,4151.0,-15.681495023359737,1660.0,117,36117,2.0,1.0,62.0,49.0,117.5,95.0,235.0,95.0,67.95,1.9963974782347682,72.57,2.881004167234069,1.7054819720382632,92.71,89.99,4.9349179400113075,18.0,3.0,53.17,48.0,66.17,36.67,1191.0,110.0,36,384819.0,-0.1152915048727835,149378.0,3408.0,1515.0,68.9,72.96,91.33,89.99,311257.0,136339.0,2007.0
36.0,12.0,77.67,79.0,101.44,110.67,3652.0,1328.0,84.0,20.0,64.05,80.8,113.52,80.0,9536.0,1600.0,8616.0,107.56444230305951,3884.0,117,36117,,,,,,,,,76.91,13.186166298749068,83.33,-3.711725049994541,1.642179170458978,101.04,99.02,8.985007011109936,28.0,,67.0,,99.14,,2776.0,,36,870532.0,1.262185598943919,384584.0,7752.0,3668.0,76.08,81.03,100.0,98.38,775196.0,360872.0,2008.0
8.0,3.0,87.75,73.0,139.75,103.0,1118.0,309.0,16.0,3.0,65.31,63.0,64.56,58.67,1033.0,176.0,2046.0,-76.25348189415043,1148.0,117,36117,1.0,1.0,86.0,86.0,80.0,80.0,80.0,80.0,78.16,1.6252762969704904,83.56,4.351116099828922,1.7136322927328558,107.15,106.0,6.047110055423599,4.0,3.0,94.75,99.33,96.75,85.0,387.0,255.0,36,219235.0,-0.7481597459944034,121683.0,1791.0,1082.0,79.13,83.27,108.58,105.98,194468.0,114673.0,2009.0
