asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
1.0,,31.0,,37.0,,37.0,,88.0,24.0,35.16,40.25,52.5,60.83,4620.0,1460.0,355.0,,151.0,125,22125,2.0,2.0,99.5,99.5,93.0,93.0,186.0,186.0,63.21,,88.81,,1.77918841955,89.97,112.81,,,,,,,,,,22,31939.0,,17034.0,180.0,104.0,80.33,101.89,112.05,125.87,20169.0,13090.0,2000.0
,,,,,,,,66.0,11.0,33.47,39.91,63.95,67.91,4221.0,747.0,572.0,61.1267605634,281.0,125,22125,6.0,3.0,58.33,55.0,103.67,95.0,622.0,285.0,73.49,16.2632494858,87.35,7.20631647026,1.90740236767,112.14,130.23,24.6415471824,3.0,,62.33,,72.0,,216.0,,22,64144.0,1.00832837597,36594.0,319.0,214.0,88.11,91.89,136.85,138.68,43655.0,29677.0,2001.0
1.0,1.0,170.0,170.0,199.0,199.0,199.0,199.0,71.0,15.0,45.2,45.93,63.38,84.8,4500.0,1272.0,469.0,-18.006993007,239.0,125,22125,,,,,,,,,81.41,10.7769764594,87.33,-8.92354558732,1.73719444786,113.14,125.75,0.891742464776,,,,,,,,,22,53063.0,-0.17275193315,30055.0,279.0,183.0,85.43,91.36,130.59,126.92,36436.0,23227.0,2002.0
2.0,,14.0,,32.0,,64.0,,61.0,16.0,46.77,52.13,68.93,80.94,4205.0,1295.0,686.0,46.2686567164,350.0,125,22125,5.0,2.0,38.2,30.0,98.4,112.0,492.0,224.0,82.2,0.970396757155,93.99,16.6250359673,2.02600364964,133.23,137.71,17.7567615344,3.0,2.0,45.67,41.0,73.67,78.0,221.0,156.0,22,91398.0,0.722443133634,48198.0,503.0,297.0,89.53,98.27,142.48,142.29,71667.0,42259.0,2003.0
3.0,,34.33,,84.33,,253.0,,100.0,30.0,40.63,47.3,79.46,81.2,7946.0,2436.0,572.0,-16.6180758017,266.0,125,22125,4.0,3.0,47.0,51.33,92.5,102.33,370.0,307.0,77.06,-6.25304136253,84.96,3.02718580427,2.08733454451,128.68,133.56,-3.41514673872,2.0,2.0,47.5,47.5,45.0,45.0,90.0,90.0,22,73605.0,-0.194676032298,35526.0,372.0,214.0,87.93,92.83,142.57,143.64,53035.0,30740.0,2004.0
,,,,,,,,76.0,29.0,54.99,39.76,77.08,63.97,5858.0,1855.0,608.0,6.29370629371,307.0,125,22125,1.0,1.0,52.0,52.0,129.0,129.0,129.0,129.0,82.33,6.83882688814,89.54,-3.01148992087,2.02447467509,133.34,136.04,3.62138638483,1.0,,288.0,,80.0,,80.0,,22,81069.0,0.101406154473,41765.0,440.0,254.0,88.97,95.73,141.79,140.39,62389.0,35658.0,2005.0
3.0,2.0,101.0,99.5,331.67,369.0,995.0,738.0,86.0,36.0,48.7,49.86,93.44,87.78,8036.0,3160.0,591.0,-2.79605263158,288.0,125,22125,,,,,,,,,117.27,42.4389651403,101.75,-19.7011990025,1.62562889059,152.51,151.12,14.3767811609,,,,,,,,,22,90136.0,0.11184299794,43522.0,375.0,214.0,140.33,109.59,169.29,158.43,63482.0,33903.0,2006.0
,,,,,,,,74.0,32.0,54.12,50.16,108.23,102.88,8009.0,3292.0,515.0,-12.8595600677,273.0,125,22125,1.0,1.0,210.0,210.0,212.0,212.0,212.0,212.0,107.86,-8.02421761746,110.39,12.4456065494,1.82794826627,157.73,155.71,3.4227263786,2.0,1.0,43.0,43.0,128.0,128.0,256.0,128.0,22,81230.0,-0.0988062483358,42509.0,373.0,223.0,116.52,119.78,168.64,164.45,62901.0,36672.0,2007.0
,,,,,,,,216.0,80.0,47.65,46.25,103.91,74.6,22444.0,5968.0,1548.0,200.582524272,872.0,125,22125,4.0,,29.0,,106.0,,424.0,,111.07,2.97608010384,131.33,6.03101667873,1.93819213109,172.22,185.93,9.18658467001,,,,,,,,,22,266600.0,2.28203865567,162128.0,1208.0,752.0,125.11,142.99,186.06,198.08,224760.0,148956.0,2008.0
,,,,,,,,41.0,17.0,57.68,49.88,86.12,59.82,3531.0,1017.0,435.0,-71.8992248062,237.0,125,22125,,,,,,,,,116.7,5.06887548393,113.45,5.18397484256,2.03866752356,190.33,170.04,10.5156195564,,,,,,,,,22,82792.0,-0.689452363091,40300.0,343.0,210.0,127.31,118.5,203.84,176.92,69916.0,37153.0,2009.0
1.0,,31.0,,221.0,,221.0,,44.0,10.0,58.64,62.8,91.89,95.3,4043.0,953.0,426.0,-2.06896551724,231.0,125,22125,,,,,,,,,119.53,2.42502142245,126.12,1.02821367085,2.05962938175,196.95,193.15,3.47816949509,,,,,,,,,22,83902.0,0.0134070924727,44618.0,327.0,200.0,128.67,131.48,206.58,198.65,67551.0,39729.0,2010.0
1.0,1.0,39.0,39.0,225.0,225.0,225.0,225.0,41.0,13.0,45.02,56.23,64.46,88.23,2643.0,1147.0,411.0,-3.52112676056,207.0,125,22125,,,,,,,,,125.39,4.90253492847,147.48,-3.94255761071,1.9784273068,198.46,201.85,0.766692053821,1.0,,40.0,,23.0,,23.0,,22,81569.0,-0.027806250149,41783.0,324.0,179.0,136.14,153.6,209.59,204.73,67908.0,36647.0,2011.0
,,,,,,,,35.0,12.0,47.63,58.5,103.17,129.58,3611.0,1555.0,521.0,26.7639902676,277.0,125,22125,,,,,,,,,119.0,-5.09610016748,115.22,3.69729649393,2.05157563025,195.31,192.66,-1.58722160637,1.0,,55.0,,364.0,,364.0,,22,101758.0,0.247508244554,53367.0,420.0,240.0,119.53,119.25,202.88,195.74,85210.0,46977.0,2012.0
