year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,55,141,66.33,52.5,1649,109385,55141,1.57928571429,,,,,
2001,55,141,78.99,59.69,2945,232620,55141,1.65417155302,19.0863862506,13.6952380952,78.5930867192,1.12661699502,4.74175369668
2002,55,141,83.95,65.45,3510,294675,55141,1.60332314744,6.2792758577,9.64985759759,19.1850594228,0.266765540366,-3.07394994734
2003,55,141,88.82,64.67,4407,391409,55141,1.71679294882,5.80107206671,-1.19174942704,25.5555555556,0.328273521676,7.07716354981
2004,55,141,88.15,59.26,3158,278391,55141,1.85939082011,-0.754334609322,-8.36554816762,-28.3412752439,-0.288746554116,8.30606110049
2005,55,141,92.92,59.59,3425,318248,55141,1.94915254237,5.41123085649,0.55686803915,8.45471817606,0.143169139807,4.82748012344
2006,55,141,93.52,66.87,3269,305703,55141,1.74816808733,0.645716745588,12.2168149018,-4.55474452555,-0.0394189437168,-10.311376389
2007,55,141,101.34,66.19,2740,277672,55141,1.91380873244,8.36184773311,-1.0168984597,-16.1823187519,-0.0916935718655,9.47509832169
2008,55,141,108.82,66.92,8272,900180,55141,2.03265092648,7.38109334912,1.10288563227,201.897810219,2.24188250886,6.20972158963
2009,55,141,114.13,75.45,2650,302444,55141,1.89082173625,4.87961771733,12.7465630604,-67.9642166344,-0.66401830745,-6.97754781122
2010,55,141,114.67,80.26,2327,266833,55141,1.78591452778,0.473144659599,6.37508283632,-12.1886792453,-0.117744111307,-5.54823368344
2011,55,141,111.87,75.42,1707,190964,55141,1.85411694511,-2.44178948286,-6.03040119611,-26.6437473141,-0.28433139829,3.81890713478
2012,55,141,2.86,82.59,2098,6002,55141,0.0432861121201,-97.4434611603,9.50676213206,22.9056824839,-0.96856999225,-97.6654055056
2013,55,141,115.8,78.44,1411,163393,55141,1.84535951045,3948.95104895,-5.02482140695,-32.745471878,26.2230923026,4163.16760751
2014,55,141,106.89,72.37,960,102618,55141,1.84624153655,-7.69430051813,-7.73839877613,-31.9631467045,-0.371955958946,0.0477969788243
