year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,25,027,120.1,71.48,27606,3315588,25027,2.10023782876,,,,,
2001,25,027,142.54,80.99,54857,7819498,25027,2.19996295839,18.684429642,13.304420817,98.7140476708,1.35840460274,4.74827794552
2002,25,027,157.8,84.25,75754,11953636,25027,2.3412462908,10.7057668023,4.02518829485,38.0935887854,0.528696087652,6.42207778419
2003,25,027,169.77,86.25,113482,19265889,25027,2.46043478261,7.5855513308,2.37388724036,49.8033107163,0.61171789069,5.09081390864
2004,25,027,188.56,85.05,77643,14640507,25027,2.77131099353,11.067915415,-1.39130434783,-31.5812199292,-0.240081420587,12.6350112233
2005,25,027,194.58,88.29,80593,15681741,25027,2.75484199796,3.19261773441,3.80952380952,3.79944103139,0.0711200780137,-0.594267320066
2006,25,027,188.37,90.18,67601,12733766,25027,2.61102794411,-3.1914893617,2.14067278287,-16.1205067438,-0.187987736821,-5.22041024334
2007,25,027,203.12,90.93,51096,10378581,25027,2.79225778071,7.83033391729,0.831669993347,-24.4153193,-0.184955888148,6.94093822348
2008,25,027,212.51,97.09,106096,22546352,25027,2.73599237821,4.62288302481,6.77444187837,107.640519806,1.17239254576,-2.01505043314
2009,25,027,210.82,104.61,37813,7971622,25027,2.51911863111,-0.795256693803,7.74539087445,-64.3596365556,-0.646434066141,-7.92669412486
2010,25,027,221.78,110.96,35413,7853820,25027,2.49842285508,5.19874774689,6.07016537616,-6.34702351043,-0.0147776700902,-0.821548289451
2011,25,027,214.87,112.44,28174,6053641,25027,2.38871842761,-3.11570024348,1.33381398702,-20.4416457233,-0.229210626167,-4.39094716308
2012,25,027,2.92,113.38,40501,118360,25027,0.0321926265655,-98.6410387676,0.836001422981,43.7531057003,-0.980448130307,-98.6523055127
2013,25,027,208.44,108.35,31867,6642379,25027,2.40470696816,7038.35616438,-4.43640853766,-21.3179921483,55.120133491,7369.74454931
2014,25,027,214.9,107.19,17557,3772934,25027,2.50606399851,3.09921320284,-1.07060452238,-44.905388019,-0.431990556396,4.21494309663
