year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,13,197,50.61,37.2,203,10273,13197,1.70060483871,,,,,
2001,13,197,63.07,42.79,223,14065,13197,1.84242813742,24.6196403873,15.0268817204,9.85221674877,0.369122943639,8.33957986461
2002,13,197,68.75,48.06,224,15401,13197,1.78812942156,9.00586649754,12.3159616733,0.448430493274,0.0949875577675,-2.94712801852
2003,13,197,79.54,48.48,259,20601,13197,2.05084570957,15.6945454545,0.873907615481,15.625,0.33764041296,14.6922412241
2004,13,197,80.73,54.9,328,26479,13197,1.8381147541,1.49610258989,13.2425742574,26.6409266409,0.285325955051,-10.3728405545
2005,13,197,83.48,56.25,372,31055,13197,1.85511111111,3.40641644989,2.45901639344,13.4146341463,0.172816193965,0.924662455097
2006,13,197,98.42,68.4,426,41925,13197,1.79861111111,17.8965021562,21.6,14.5161290323,0.3500241507,-3.04563967417
2007,13,197,96.76,67.27,393,38027,13197,1.79797829642,-1.68664905507,-1.65204678363,-7.74647887324,-0.0929755515802,-0.0351835196491
2008,13,197,92.74,94.64,920,85324,13197,1.22490490279,-4.1546093427,40.6867845994,134.096692112,1.24377416046,-31.8732097473
2009,13,197,108.93,61.39,142,15468,13197,2.21799152957,17.4574078068,-35.1331360947,-84.5652173913,-0.818714546904,81.0745899142
2010,13,197,101.71,78.0,112,11391,13197,1.62996794872,-6.62810979528,27.0565238638,-21.1267605634,-0.263576415826,-26.5115341068
2011,13,197,95.87,77.28,109,10450,13197,1.55069228778,-5.74181496411,-0.923076923077,-2.67857142857,-0.0826090773418,-4.86363311595
2012,13,197,2.96,59.34,112,331,13197,0.0623525446579,-96.9124856577,-23.2142857143,2.75229357798,-0.968325358852,-95.979051089
2013,13,197,93.52,63.04,150,14028,13197,1.85437817259,3059.45945946,6.23525446579,33.9285714286,41.3806646526,2874.0216422
2014,13,197,99.68,53.86,79,7875,13197,2.3134051244,6.58682634731,-14.5621827411,-47.3333333333,-0.438622754491,24.7536860924
