asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
10.0,4.0,44.4,56.0,43.6,43.5,436.0,174.0,55.0,11.0,39.89,38.36,47.75,52.27,2626.0,575.0,765.0,,330.0,321,48321,127.0,55.0,44.61,45.85,45.35,50.22,5760.0,2762.0,65.67,,80.32,,1.07107507233,56.27,65.35,,3.0,3.0,45.33,45.33,67.0,67.0,201.0,201.0,48,43045.0,,21565.0,398.0,211.0,81.85,94.92,65.67,72.82,26137.0,15366.0,2000.0
15.0,10.0,149.53,182.4,117.4,140.3,1761.0,1403.0,52.0,10.0,64.75,155.0,68.54,91.5,3564.0,915.0,939.0,22.7450980392,389.0,321,48321,113.0,48.0,51.06,63.06,51.96,56.35,5871.0,2705.0,64.15,-2.31460331963,80.04,12.630041578,1.2063522993,61.91,70.1,10.0231028967,1.0,1.0,67.0,67.0,48.0,48.0,48.0,48.0,48,58137.0,0.350609826925,27267.0,420.0,235.0,73.31,83.57,71.72,74.4,30124.0,17484.0,2001.0
25.0,10.0,99.04,91.4,100.6,99.8,2515.0,998.0,49.0,17.0,56.41,61.29,70.2,60.76,3440.0,1033.0,1224.0,30.3514376997,554.0,321,48321,113.0,58.0,52.35,55.59,52.49,55.26,5931.0,3205.0,73.6,14.7310989867,83.36,-6.70142449067,1.12550951087,66.27,68.97,7.04248102084,1.0,,69.0,,69.0,,69.0,,48,81113.0,0.395204430913,38212.0,658.0,374.0,82.56,91.25,71.62,72.2,47125.0,27002.0,2002.0
22.0,11.0,84.82,66.0,93.41,86.27,2055.0,949.0,65.0,17.0,52.51,56.29,64.37,69.35,4184.0,1179.0,1474.0,20.4248366013,622.0,321,48321,178.0,79.0,54.32,57.49,53.46,53.42,9516.0,4220.0,72.68,-1.25,82.96,10.2967721232,1.24140066043,72.18,77.18,8.91806247171,3.0,2.0,96.33,80.5,104.33,122.5,313.0,245.0,48,106389.0,0.311614661028,48003.0,920.0,451.0,80.27,89.97,77.34,81.87,71150.0,36922.0,2003.0
34.0,13.0,85.12,71.08,108.06,111.46,3674.0,1449.0,105.0,27.0,61.7,53.04,62.74,55.89,6588.0,1509.0,1514.0,2.71370420624,601.0,321,48321,9.0,5.0,119.22,120.6,86.56,104.6,779.0,523.0,75.55,3.94881673088,81.18,1.75894919661,1.26323626737,76.35,78.94,5.77722360765,28.0,10.0,52.25,66.5,58.04,62.5,1625.0,625.0,48,115587.0,0.086456306573,47440.0,993.0,468.0,80.16,84.94,78.37,80.3,77818.0,37579.0,2004.0
23.0,10.0,105.65,119.0,92.35,102.9,2124.0,1029.0,105.0,31.0,56.57,62.61,69.24,75.9,7270.0,2353.0,1398.0,-7.66182298547,513.0,321,48321,6.0,4.0,40.67,34.25,59.0,70.25,354.0,281.0,81.82,8.29913964262,93.62,1.18956317452,1.27826326082,83.67,83.4,9.58742632613,34.0,12.0,63.62,59.83,63.15,65.25,2147.0,783.0,48,116964.0,0.0119131044149,42786.0,922.0,406.0,85.96,97.16,85.26,84.92,78610.0,34477.0,2005.0
31.0,10.0,81.29,86.8,98.87,110.4,3065.0,1104.0,84.0,28.0,54.99,65.18,77.54,69.57,6513.0,1948.0,1335.0,-4.50643776824,569.0,321,48321,15.0,8.0,55.13,56.5,76.33,68.5,1145.0,548.0,91.77,12.1608408702,103.96,-8.90295458717,1.1644600632,85.49,88.39,2.17521214294,11.0,6.0,65.18,59.17,51.73,59.0,569.0,354.0,48,114124.0,-0.0242809753428,50294.0,922.0,452.0,97.84,109.21,86.94,90.16,80156.0,40753.0,2006.0
21.0,4.0,86.43,73.25,124.81,86.5,2621.0,346.0,86.0,21.0,63.66,86.43,82.95,85.9,7134.0,1804.0,1164.0,-12.808988764,465.0,321,48321,16.0,12.0,58.69,57.67,54.06,44.67,865.0,536.0,93.43,1.80887000109,109.7,11.2408103999,1.29535481109,96.82,100.0,13.2530120482,24.0,6.0,51.08,50.33,76.79,105.5,1843.0,633.0,48,112699.0,-0.0124864182819,46502.0,817.0,373.0,101.7,117.32,101.15,105.01,82639.0,39170.0,2007.0
76.0,28.0,71.05,86.29,133.42,120.43,10140.0,3372.0,116.0,20.0,54.69,59.8,90.28,121.8,10472.0,2436.0,2856.0,145.360824742,1300.0,321,48321,24.0,20.0,142.33,87.0,113.0,89.6,2712.0,1792.0,97.24,4.07791929787,110.76,9.91558291642,1.42379679144,110.76,118.48,14.3978516835,4.0,,67.0,,81.0,,324.0,,48,316344.0,1.80698142841,154024.0,2260.0,1096.0,103.15,114.89,113.65,120.39,256856.0,131952.0,2008.0
9.0,5.0,95.22,108.4,147.11,148.4,1324.0,742.0,18.0,1.0,60.22,41.0,72.89,42.0,1312.0,42.0,585.0,-79.5168067227,267.0,321,48321,,,,,,,,,107.5,10.5512134924,116.37,-2.64321432471,1.3861627907,119.21,121.05,7.62910798122,3.0,1.0,80.67,116.0,144.67,294.0,434.0,294.0,48,69739.0,-0.779546948891,32320.0,447.0,233.0,112.04,120.28,122.18,120.25,54613.0,28018.0,2009.0
9.0,2.0,70.78,56.0,124.44,139.5,1120.0,279.0,17.0,4.0,55.18,48.75,80.29,73.0,1365.0,292.0,645.0,10.2564102564,294.0,321,48321,2.0,1.0,167.0,275.0,238.5,417.0,477.0,417.0,112.88,5.00465116279,124.62,1.00974220136,1.40015946137,126.44,126.41,6.06492743897,3.0,1.0,36.0,56.0,152.67,146.0,458.0,146.0,48,81553.0,0.169403059981,37164.0,525.0,254.0,113.7,127.94,128.34,127.71,67381.0,32438.0,2010.0
13.0,5.0,64.0,79.0,103.85,113.0,1350.0,565.0,17.0,3.0,69.24,101.0,100.65,137.67,1711.0,413.0,609.0,-5.58139534884,295.0,321,48321,1.0,1.0,43.0,43.0,40.0,40.0,40.0,40.0,110.04,-2.51594613749,118.68,-2.2057953445,1.36927480916,120.54,115.83,-4.66624485922,3.0,,54.0,,114.67,,344.0,,48,73407.0,-0.0998859637291,34169.0,501.0,269.0,111.21,118.04,119.97,114.15,60106.0,30707.0,2011.0
5.0,2.0,46.4,64.0,71.4,96.0,357.0,192.0,15.0,5.0,75.33,89.6,100.2,104.0,1503.0,520.0,603.0,-0.985221674877,303.0,321,48321,,,,,,,,,115.35,4.82551799346,123.99,-5.43436201592,1.29486345904,119.49,121.46,-0.871080139373,2.0,,41.0,,79.5,,159.0,,48,72054.0,-0.0184314847358,36803.0,513.0,272.0,116.43,123.98,119.3,121.69,61199.0,33101.0,2012.0
15.0,12.0,86.13,76.92,146.87,127.25,2203.0,1527.0,25.0,8.0,82.0,100.0,94.64,98.63,2366.0,789.0,643.0,6.63349917081,330.0,321,48321,,,,,,,,,112.49,-2.47941048981,122.78,3.1345838714,1.33545204018,120.18,124.84,0.577454180266,2.0,,87.5,,84.0,,168.0,,48,77275.0,0.0724595442307,41197.0,524.0,286.0,116.16,125.8,122.39,126.23,64130.0,36102.0,2013.0
9.0,5.0,57.56,68.4,97.89,74.2,881.0,371.0,27.0,9.0,76.89,85.67,101.56,98.78,2742.0,889.0,505.0,-21.4618973561,284.0,321,48321,2.0,1.0,123.0,123.0,81.5,82.0,163.0,82.0,124.34,10.5342697129,134.04,-4.70496938095,1.27261943059,126.59,128.99,5.33366616742,4.0,1.0,272.5,57.0,51.5,34.0,206.0,34.0,48,63927.0,-0.172733743125,36634.0,407.0,248.0,130.0,136.93,132.6,132.63,53969.0,32893.0,2014.0
